id	altmetric_id	authors	journal	type	doi	altmetric_score	date	pubyear	pubmonth	males	females	unknown	percmales	percfemales	percunknown	numauthors	firstgender	firstgenderprob	lastgender	lastgenderprob
860	2100172	['Alison Abbott']	Nature	news	10.1038/506024a	102.866	2014-02-06T00:00:00+00:00	2014	2	0	1	0	0	1	0	1	female	0.98	female	0.98
979	10799833	['Jennifer McGowan', 'Hugh P. Possingham', 'Ken Anthony']	Nature	article	10.1038/536396a	18.35	2016-08-24T00:00:00+00:00	2016	8	2	1	0	0.666666666666667	0.333333333333333	0	3	female	0.98	male	0.98
1357	535432	['Sandberg MK', 'Al-Doujaily H', 'Sharps B', 'Clarke AR', 'Collinge J', 'Malin K. Sandberg', 'Huda Al-Doujaily', 'Bernadette Sharps', 'Anthony R. Clarke', 'John Collinge']	Nature	article	10.1038/nature09768	6	2011-02-27T00:00:00+00:00	2011	2	0	0	10	0	0	1	10				
2103	32074556	['B. E. Tetarenko', 'J.-P. Lasota', 'C. O. Heinke', 'G. Dubus', 'G. R. Sivakoff', 'J. -P. Lasota']	Nature	article	10.1038/nature25159	115.712	2018-01-22T00:00:00+00:00	2018	1	0	0	6	0	0	1	6				
