id	altmetric_id	authors	journal	type	doi	altmetric_score	date	pubyear	pubmonth	males	females	unknown	percmales	percfemales	percunknown	numauthors	firstgender	firstgenderprob	lastgender	lastgenderprob
291	6679744	['Zhu J', 'Wang H', 'Yang S', 'Guo L', 'Li Z', 'Wang W', 'Wang S', 'Huang W', 'Wang L', 'Yang T', 'Ma Q', 'Bi Y', 'Jie Zhu', 'Hong Wang', 'Shuo Yang', 'Liqiao Guo', 'Zhen Li', 'Wei Wang', 'Suhan Wang', 'Wenting Huang', 'Liping Wang', 'Tan Yang', 'Qiang Ma', 'Yongyi Bi', 'Dean G. Tang']	PLoS ONE	article	10.1371/journal.pone.0071153	3	2013-08-05T00:00:00+00:00	2013	8	0	0	25	0	0	1	25				
316	1757659	['Victor Stollar', 'Virginia Mensah', 'Sandra Adams', 'Mei-Ling Li']	PLoS ONE	article	10.1371/journal.pone.0060504	1	2013-01-01T00:00:00+00:00	2013	1	1	4	-1	0.25	1	-0.25	4	male	0.99	female	0.78
462	1292358	['Yang Gao', 'Liping Li', 'Emily Y. Y. Chan', 'Joseph Lau', 'Sian M. Griffiths']	PLoS ONE	article	10.1371/journal.pone.0057569	3.25	2013-03-08T00:00:00+00:00	2013	3	1	3	1	0.2	0.6	0.2	5			female	0.88
463	3916877	['Fink, Elian', 'Heathers, James A J', 'de Rosnay, Marc']	PLoS ONE	article	10.1371/journal.pone.0121735	0.25	2015-04-17T22:06:23+00:00	2015	4	1	0	2	0.333333333333333	0	0.666666666666667	3				
