id	altmetric_id	authors	journal	type	doi	altmetric_score	date	pubyear	pubmonth	males	females	unknown	percmales	percfemales	percunknown	numauthors	firstgender	firstgenderprob	lastgender	lastgenderprob
893	10105065	['Maxwell A. Sherman', 'Shane Lee', 'Robert Law', 'Saskia Haegens', 'Catherine A. Thorn', 'Matti S. Hämäläinen', 'Christopher I. Moore', 'Stephanie R. Jones', 'Sherman, Maxwell A', 'Lee, Shane', 'Law, Robert', 'Haegens, Saskia', 'Thorn, Catherine A', 'Hämäläinen, Matti S', 'Moore, Christopher I', 'Jones, Stephanie R']	Proceedings of the National Academy of Sciences of the United States of America	article	10.1073/pnas.1604135113	53.03	2016-07-28T00:00:00+00:00	2016	7	11	3	2	0.6875	0.1875	0.125	16	male	0.98		
2756	1099285	['Ingo Willuhn', 'Lauren M. Burgeno', 'Barry J. Everitt', 'Paul E. M. Phillips', 'Willuhn I', 'Burgeno LM', 'Everitt BJ', 'Phillips PE', 'I. Willuhn', 'L. M. Burgeno', 'B. J. Everitt', 'P. E. M. Phillips']	Proceedings of the National Academy of Sciences of the United States of America	article	10.1073/pnas.1213460109	0.5	2012-11-26T00:00:00+00:00	2012	11	3	0	9	0.25	0	0.75	12	male	0.99		
2866	2304189	['Jeffrey A. Hussmann', 'Dianne I. Lou', 'Sara L. Sawyer', 'William H. Press', 'Hussmann, Jeffrey A', 'Lou, Dianne I', 'Sawyer, Sara L', 'Press, William H']	Proceedings of the National Academy of Sciences of the United States of America	article	10.1073/pnas.1402606111	0.75	2014-04-22T00:00:00+00:00	2014	4	5	3	0	0.625	0.375	0	8	male	0.99	male	0.61
3517	3414423	['D Schock', 'S R Kuo', 'M F Steinburg', 'M Bolognino', 'J D Sparks', 'C E Sparks', 'H C Smith']	Proceedings of the National Academy of Sciences of the United States of America	article	10.1073/pnas.93.3.1097	9	2015-06-09T07:25:08+00:00	2015	6	0	0	7	0	0	1	7				
