id	altmetric_id	authors	journal	type	altmetric_score	date	males	females	unknown	percmales	percfemales	percunknown
19127	43016446	['Maria-Luisa Carrozza', 'Anna-Maria Niewiadomska', 'Maurizio Mazzei', 'Mounir Abi-Said', 'Stephane Hue', 'Joshua B Singer', 'Joseph Hughes', 'Robert James Gifford']	bioRxiv	article	1.75	2018-05-30T00:00:00+00:00	7	4	-3	0.875	0.5	-0.375
21115	20691110	['Linlin Dong', 'Jiang Xu', 'Lianjuan Zhang', 'Guangfei Wei', 'He Su', 'Juan Yang', 'Jun Qian', 'Ran Xu', 'Baosheng Liao', 'Liang Shen', 'Mingli Wu', 'Ruiyang Cheng', 'Shilin Chen']	bioRxiv	article	0.75	2017-05-29T00:00:00+00:00	2	1	10	0.153846153846154	0.0769230769230769	0.769230769230769
21597	21299774	['Ilaria Dorigatti', 'Arran Hamlet', 'Ricardo Aguas', 'Lorenzo Cattarino', 'Anne Cori', 'Christl A. Donnelly', 'Tini Garske', 'Natsuko Imai', 'Neil M. Ferguson']	bioRxiv	article	11.1	2017-06-23T00:00:00+00:00	3	3	3	0.333333333333333	0.333333333333333	0.333333333333333
22840	33206148	['Inger Greve Alsos', 'Youri Lammers', 'Nigel Giles Yoccoz', 'Tina Joergensen', 'Per Sjoegren', 'Ludovic Gielly', 'Mary E Edwards']	bioRxiv	article	9.33	2018-02-14T00:00:00+00:00	3	3	1	0.428571428571429	0.428571428571429	0.142857142857143
23512	26974791	['Pingjuan Li', 'Benjamin P. Kleinstiver', 'Mihoko Y. Leon', 'Michelle S. Prew', 'Daniel Navarro-Gomez', 'Scott H. Greenwald', 'Eric A. Pierce', 'J. Keith Joung', 'Qin Liu']	bioRxiv	article	24.784	2017-10-03T00:00:00+00:00	6	1	2	0.666666666666667	0.111111111111111	0.222222222222222
23943	43084614	['Daniel Commenges', 'Chariff Alkhassim', 'Raphael Gottardo', 'Boris Hejblum', 'Rodolphe Thiebaut']	bioRxiv	article	10.93	2018-05-31T00:00:00+00:00	3	0	2	0.6	0	0.4
26876	29429999	['Shubham Tripathi', 'Michael Deem']	bioRxiv	article	3.35	2017-11-25T00:00:00+00:00	1	0	1	0.5	0	0.5
28612	43760170	['Luiz R Basso', 'Relber A. Goncales', 'Elton J. R. Vasconcelos', 'Thaila F Reis', 'Patricia C Ruy', 'Jeronimo C Ruiz', 'Paulo S. R. Coelho']	bioRxiv	article	0.5	2018-06-15T00:00:00+00:00	2	1	4	0.285714285714286	0.142857142857143	0.571428571428571
28876	27276358	['Lisette Meerstein-Kessel', 'Robin van der Lee', 'Will Stone', 'Kjerstin Lanke', 'David A Baker', 'Pietro Alano', 'Francesco Silvestrini', 'Chris J Janse', 'Shahid M Khan', 'Marga van de Vegte-Bolmer', 'Wouter Graumans', 'Rianne Siebelink-Stoter', 'Taco WA Kooij', 'Matthias Marti', 'Chris Drakeley', 'Joseph J Campo', 'Teunis JP van Dam', 'Robert Sauerwein', 'Teun Bousema', 'Martijn A Huynen']	bioRxiv	article	1.75	2017-10-10T00:00:00+00:00	10	2	8	0.5	0.1	0.4
29935	3949675	['Juan Carlos Carlos Rocha', 'Garry D Peterson', 'Reinette Oonsie Biggs', 'Rocha, Juan Carlos Carlos', 'Peterson, Garry D', 'Biggs, Reinette Oonsie']	bioRxiv	article	1.75	2015-04-28T00:00:00+00:00	3	0	6	0.333333333333333	0	0.666666666666667
