id	altmetric_id	authors	journal	type	altmetric_score	date	males	females	unknown	percmales	percfemales	percunknown
44	1272054	['David\xa0W. Van\xa0de\xa0Vosse', 'Yakun Wan', 'Diego\xa0L. Lapetina', 'Wei-Ming Chen', 'Jung-Hsien Chiang', 'John\xa0D. Aitchison', 'Richard\xa0W. Wozniak']	Cell	article	2.75	2013-01-01T00:00:00+00:00	4	0	3	0.571428571428571	0	0.428571428571429
1640	35542341	['Mark A. Krasnow', 'Nicholas R. Cozzarelli']	Cell	article	9	1983-04-01T00:00:00+00:00	2	0	0	1	0	0
2265	3122178	['Michael-Christopher Keogh', 'Siavash K. Kurdistani', 'Stephanie A. Morris', 'Seong Hoon Ahn', 'Vladimir Podolny', 'Sean R. Collins', 'Maya Schuldiner', 'Kayu Chin', 'Thanuja Punna', 'Natalie J. Thompson', 'Charles Boone', 'Andrew Emili', 'Jonathan S. Weissman', 'Timothy R. Hughes', 'Brian D. Strahl', 'Michael Grunstein', 'Jack F. Greenblatt', 'Stephen Buratowski', 'Nevan J. Krogan']	Cell	article	3	2005-11-01T00:00:00+00:00	11	3	5	0.578947368421053	0.157894736842105	0.263157894736842
2798	587661	['David\xa0J. Anderson']	Cell	article	14.7	2012-01-01T00:00:00+00:00	2	0	-1	2	0	-1
2966	3516716	['D R Littman', 'Y Thomas', 'P J Maddon', 'L Chess', 'R Axel']	Cell	article	0	1985-02-01T00:00:00+00:00	2	0	3	0.4	0	0.6
6290	431796	['JosephÂ\xa0E. LeDoux', 'Joshua P. Johansen', 'Christopher K. Cain', 'Linnaea E. Ostroff', 'Joseph E. LeDoux', 'Joshua\xa0P. Johansen', 'Christopher\xa0K. Cain', 'Linnaea\xa0E. Ostroff', 'Joseph\xa0E. LeDoux']	Cell	article	19.5	2011-01-01T00:00:00+00:00	3	0	6	0.333333333333333	0	0.666666666666667
8152	132777	['Dongning Pan', 'Masaki Fujimoto', 'Andrea Lopes', 'Yong-Xu Wang']	Cell	article	1	2009-04-03T00:00:00+00:00	0	1	3	0	0.25	0.75
8983	42186554	['Ravi Dhar', 'Robert M. Chanock', 'Ching-Juh Lai']	Cell	article	3	1980-09-01T00:00:00+00:00	2	0	1	0.666666666666667	0	0.333333333333333
9436	31550779	['Semenza, J C', 'Hardwick, K G', 'Dean, N', 'Pelham, H R']	Cell	article	1	1990-06-29T00:00:00+00:00	1	0	7	0.125	0	0.875
9577	209134	['Pavri, Rushad', 'Zhu, Bing', 'Li, Guohong', 'Trojer, Patrick', 'Mandal, Subhrangsu', 'Shilatifard, Ali', 'Reinberg, Danny', 'Rushad Pavri', 'Bing Zhu', 'Guohong Li', 'Patrick Trojer', 'Subhrangsu Mandal', 'Ali Shilatifard', 'Danny Reinberg']	Cell	article	7	2006-05-19T00:00:00+00:00	3	0	18	0.142857142857143	0	0.857142857142857
10828	4285532	['Richardson, Douglas S', 'Lichtman, Jeff W', 'Douglas\xa0S. Richardson', 'Jeff\xa0W. Lichtman', 'Douglas S. Richardson', 'Jeff W. Lichtman']	Cell	article	101.276	2015-07-18T22:00:23+00:00	2	0	6	0.25	0	0.75
11238	414277	['Mégraud F']	Cell	article	23.104	2005-12-16T00:00:00+00:00	0	0	1	0	0	1
11276	556697	['Jonathan R. Terman', 'Tianyi Mao', 'R.Jeroen Pasterkamp', 'Hung-Hsiang Yu', 'Alex L. Kolodkin', 'Terman, Jonathan R', 'Mao, Tianyi', 'Pasterkamp, R Jeroen', 'Yu, Hung-Hsiang', 'Kolodkin, Alex L']	Cell	article	7.5	2002-01-01T00:00:00+00:00	3	0	12	0.2	0	0.8
12304	4346716	['Teng, Grace', 'Maman, Yaakov', 'Resch, Wolfgang', 'Kim, Min', 'Yamane, Arito', 'Qian, Jason', 'Kieffer-Kwon, Kyong-Rim', 'Mandal, Malay', 'Ji, Yanhong', 'Meffre, Eric', 'Clark, Marcus R', 'Cowell, Lindsay G', 'Casellas, Rafael', 'Schatz, David G', 'Grace Teng', 'Yaakov Maman', 'Wolfgang Resch', 'Min Kim', 'Arito Yamane', 'Jason Qian', 'Kyong-Rim Kieffer-Kwon', 'Malay Mandal', 'Yanhong Ji', 'Eric Meffre', 'Marcus\xa0R. Clark', 'Lindsay\xa0G. Cowell', 'Rafael Casellas', 'David\xa0G. Schatz']	Cell	article	6.75	2015-08-04T14:31:47+00:00	5	4	33	0.119047619047619	0.0952380952380952	0.785714285714286
13192	7791692	['Scott E. Stachel', 'Patricia C. Zambryski']	Cell	article	0	1986-08-01T00:00:00+00:00	1	1	0	0.5	0.5	0
16706	41880245	['Tim Manser', 'R.F. Gesteland']	Cell	article	3	1982-05-01T00:00:00+00:00	1	0	1	0.5	0	0.5
21055	6096947	['Ramirez-Carrozzi VR', 'Braas D', 'Bhatt DM', 'Cheng CS', 'Hong C', 'Doty KR', 'Black JC', 'Hoffmann A', 'Carey M', 'Smale ST']	Cell	article	0	2009-07-09T23:00:00+00:00	1	1	8	0.1	0.1	0.8
21343	6159942	['Neil Savage']	Cell	article	5.95	2016-03-10T00:00:00+00:00	1	0	0	1	0	0
22293	1240777	['Karla Kirkegaard', 'Gomez JA', 'Wapinski OL', 'Yang YW', 'Bureau JF', 'Gopinath S', 'Monack DM', 'Chang HY', 'Brahic M', 'Kirkegaard K', 'J.\xa0Antonio Gomez', 'Orly\xa0L. Wapinski', 'Yul\xa0W. Yang', 'Jean-François Bureau', 'Smita Gopinath', 'Denise\xa0M. Monack', 'Howard\xa0Y. Chang', 'Michel Brahic']	Cell	article	9.1	2013-01-01T00:00:00+00:00	4	2	12	0.222222222222222	0.111111111111111	0.666666666666667
23313	3536173	['K. Tertia Belt', 'Michael C. Carroll', 'Rodney R. Porter']	Cell	article	6	1984-04-01T00:00:00+00:00	2	0	1	0.666666666666667	0	0.333333333333333
25565	41603981	['James C. Stone', 'Tom Atkinson', 'Michael Smith', 'Tony Pawson']	Cell	article	3	1984-06-01T00:00:00+00:00	4	0	0	1	0	0
28790	3269614	None	Cell	article	0	None	0	0	1	0	0	1
29683	522184	['Barr AJ', 'Ugochukwu E', 'Lee WH', 'King ON', 'Filippakopoulos P', 'Alfano I', 'Savitsky P', 'Burgess-Brown NA', 'Müller S', 'Knapp S', 'Alastair J. Barr', 'Emilie Ugochukwu', 'Wen Hwa Lee', 'Oliver N.F. King', 'Panagis Filippakopoulos', 'Ivan Alfano', 'Pavel Savitsky', 'Nicola A. Burgess-Brown', 'Susanne Müller', 'Stefan Knapp']	Cell	article	12.184	2009-01-28T00:00:00+00:00	6	3	11	0.3	0.15	0.55
31912	41232944	['L HAYNES', 'L ROTHMANDENES']	Cell	article	6	1985-06-01T00:00:00+00:00	0	0	2	0	0	1
32413	109454	['Cajetan Neubauer', 'Yong-Gui Gao', 'Kasper R Andersen', 'Christine M Dunham', 'Ann C Kelley', 'Jendrik Hentschel', 'Kenn Gerdes', 'V Ramakrishnan', 'Ditlev E Brodersen']	Cell	article	6.16	2009-12-11T00:00:00+00:00	1	3	5	0.111111111111111	0.333333333333333	0.555555555555556
37011	798962	['David\xa0V. Schaffer']	Cell	article	0.25	2011-01-01T00:00:00+00:00	1	0	0	1	0	0
37030	133237	['Steven J Bensinger', 'Michelle N Bradley', 'Sean B Joseph', 'Noam Zelcer', 'Edith M Janssen', 'Mary Ann Hausner', 'Roger Shih', 'John S Parks', 'Peter A Edwards', 'Beth D Jamieson', 'Peter Tontonoz', 'Steven J. Bensinger', 'Michelle N. Bradley', 'Sean B. Joseph', 'Edith M. Janssen', 'John S. Parks', 'Peter A. Edwards', 'Beth D. Jamieson']	Cell	article	10	2008-07-11T00:00:00+00:00	7	5	6	0.388888888888889	0.277777777777778	0.333333333333333
37892	3614447	['Rita Guerreiro', 'José Brás', 'John Hardy']	Cell	article	3.5	2015-02-12T00:00:00+00:00	2	1	0	0.666666666666667	0.333333333333333	0
40942	41617575	['Joseph G. Naglich', 'James E. Metherall', 'David W. Russell', 'Leon Eidels']	Cell	article	6	1992-06-01T00:00:00+00:00	5	0	-1	1.25	0	-0.25
44108	1537043	['Feng Wang', 'Damian\xa0C. Ekiert', 'Insha Ahmad', 'Wenli Yu', 'Yong Zhang', 'Omar Bazirgan', 'Ali Torkamani', 'Terje Raudsepp', 'Waithaka Mwangi', 'Michael\xa0F. Criscitiello', 'Ian\xa0A. Wilson', 'Peter\xa0G. Schultz', 'Vaughn\xa0V. Smider', 'Damian C. Ekiert', 'Michael F. Criscitiello', 'Ian A. Wilson', 'Peter G. Schultz', 'Vaughn V. Smider']	Cell	article	138.058	2013-01-01T00:00:00+00:00	8	0	10	0.444444444444444	0	0.555555555555556
44244	15259095	['H VANLUENEN', 'S COLLOMS', 'R PLASTERK']	Cell	article	9	1994-10-21T00:00:00+00:00	0	0	3	0	0	1
45640	41415913	['Alan M. Weiner']	Cell	article	3	1988-01-01T00:00:00+00:00	1	0	0	1	0	0
47409	20912669	['Qian, Hongwu', 'Zhao, Xin', 'Cao, Pingping', 'Lei, Jianlin', 'Yan, Nieng', 'Gong, Xin', 'Hongwu Qian', 'Xin Zhao', 'Pingping Cao', 'Jianlin Lei', 'Nieng Yan', 'Xin Gong']	Cell	article	21.1	2017-06-01T00:00:00+00:00	0	0	18	0	0	1
48430	3221616	['Ridanpää, M', 'van Eenennaam, H', 'Pelin, K', 'Chadwick, R', 'Johnson, C', 'Yuan, B', 'vanVenrooij, W', 'Pruijn, G', 'Salmela, R', 'Rockas, S', 'Mäkitie, O', 'Kaitila, I', 'de la Chapelle, A']	Cell	article	3	2001-01-26T00:00:00+00:00	0	2	24	0	0.0769230769230769	0.923076923076923
48597	15129142	['Yongdae Shin', 'Joel Berry', 'Nicole Pannucci', 'Mikko P. Haataja', 'Jared E. Toettcher', 'Clifford P. Brangwynne', 'Shin, Yongdae', 'Berry, Joel', 'Pannucci, Nicole', 'Haataja, Mikko P', 'Toettcher, Jared E', 'Brangwynne, Clifford P']	Cell	article	129.396	2016-12-29T00:00:00+00:00	3	1	14	0.166666666666667	0.0555555555555556	0.777777777777778
48974	3447885	['Forman, B M', 'Umesono, K', 'Chen, J', 'Evans, R M', 'Barry Marc Forman', 'Kazuhiko Umesono', 'Jasmine Chen', 'Ronald M. Evans']	Cell	article	6	2015-05-22T22:33:15+00:00	3	1	8	0.25	0.0833333333333333	0.666666666666667
53973	41941192	['Leonore Reiser', 'Zora Modrusan', 'Linda Margossian', 'Alon Samach', 'Nir Ohad', 'George W. Haughn', 'Robert L. Fischer']	Cell	article	3	1995-12-01T00:00:00+00:00	3	1	3	0.428571428571429	0.142857142857143	0.428571428571429
55507	8168273	['Haque A', 'Engwerda CR']	Cell	article	0	2011-04-28T23:00:00+00:00	0	0	2	0	0	1
