id	altmetric_id	authors	journal	type	altmetric_score	date	males	females	unknown	percmales	percfemales	percunknown
4886	228202	['Andrea H. Bild', 'Guang Yao', 'Jeffrey T. Chang', 'Quanli Wang', 'Anil Potti', 'Dawn Chasse', 'Mary-Beth Joshi', 'David Harpole', 'Johnathan M. Lancaster', 'Andrew Berchuck', 'John A. Olson', 'Jeffrey R. Marks', 'Holly K. Dressman', 'Mike West', 'Joseph R. Nevins', 'Bild AH', 'Yao G', 'Chang JT', 'Wang Q', 'Potti A', 'Chasse D', 'Joshi MB', 'Harpole D', 'Lancaster JM', 'Berchuck A', 'Olson JA Jr', 'Marks JR', 'Dressman HK', 'West M', 'Nevins JR', 'John A. Olson Jr']	Nature	article	18	2006-01-19T00:00:00+00:00	10	5	16	0.32258064516129	0.161290322580645	0.516129032258065
5434	41740337	['J. C. ALLEN', 'C. J. SMITH', 'M. C. CURRY', 'J. M. GAUGAS']	Nature	article	3	1977-06-16T00:00:00+00:00	1	0	3	0.25	0	0.75
5733	1982226	['Dan Erlanson']	Nature	article	1	2011-03-30T00:00:00+00:00	1	0	0	1	0	0
5763	2284512	['Preston Grassmann']	Nature	article	0.5	2014-04-16T00:00:00+00:00	1	0	0	1	0	0
6299	3617473	None	Nature	article	0	1948-01-03T00:00:00+00:00	0	0	1	0	0	1
6673	450263	['Jonathan Knight']	Nature	news	3	2003-05-22T00:00:00+00:00	1	0	0	1	0	0
7430	2898125	None	Nature	article	1.35	2008-07-23T00:00:00+00:00	0	0	1	0	0	1
7860	12951548	None	Nature	article	11.8	2016-10-19T00:00:00+00:00	0	0	1	0	0	1
8522	4545206	['Hong Yang', 'Julian R. Thompson', 'Roger J. Flower']	Nature	article	2.5	2015-09-23T00:00:00+00:00	2	0	1	0.666666666666667	0	0.333333333333333
8794	17924919	['Pumin Zhang', 'Nanette J. Liégeois', 'Calvin Wong', 'Milton Finegold', 'Harry Hou', 'Janet C. Thompson', 'Adam Silverman', 'J. Wade Harper', 'Ronald A. DePinho', 'Stephen J. Elledge']	Nature	article	3	1997-05-08T00:00:00+00:00	7	1	2	0.7	0.1	0.2
9111	1223238	['Matthew R. Warr', 'Mikhail Binnewies', 'Johanna Flach', 'Damien Reynaud', 'Trit Garg', 'Ritu Malhotra', 'Jayanta Debnath', 'Emmanuelle PasseguÃ©', 'Warr MR', 'Binnewies M', 'Flach J', 'Reynaud D', 'Garg T', 'Malhotra R', 'Debnath J', 'Passegué E', 'Emmanuelle Passegué']	Nature	article	12.05	2013-02-06T00:00:00+00:00	2	2	13	0.117647058823529	0.117647058823529	0.764705882352941
9117	493051	None	Nature	article	90.736	2011-12-14T00:00:00+00:00	0	0	1	0	0	1
9527	43133635	['T. Ditmire', 'J. W. G. Tisch', 'E. Springate', 'M. B. Mason', 'N. Hay', 'R. A. Smith', 'J. Marangos', 'M. H. R. Hutchinson']	Nature	article	3	1997-03-06T00:00:00+00:00	1	0	7	0.125	0	0.875
9926	22443286	['T. A. ANGUS']	Nature	article	3	1954-03-20T00:00:00+00:00	1	0	0	1	0	0
10123	3657102	['John Whitfield']	Nature	news	3	2002-07-17T00:00:00+00:00	1	0	0	1	0	0
10216	2224186	['Norihiro Nakamura', 'Jennie R. Lill', 'Qui Phung', 'Zhaoshi Jiang', 'Corey Bakalarski', 'Ann de Mazière', 'Judith Klumperman', 'Megan Schlatter', 'Lélia Delamarre', 'Ira Mellman']	Nature	article	10.75	2014-03-30T00:00:00+00:00	1	5	4	0.1	0.5	0.4
11410	1972906	None	Nature	article	7.7	2013-12-11T00:00:00+00:00	0	0	1	0	0	1
11786	2042908	['Eugenie Samuel Reich']	Nature	news	199.55	2014-01-16T00:00:00+00:00	1	0	0	1	0	0
11922	41351874	['Tim Wilson', 'Richard Treisman']	Nature	article	3	1988-11-24T00:00:00+00:00	3	0	-1	1.5	0	-0.5
12407	234944	['Christian Brix Folsted Andersen', 'Mette Madsen', 'Tina Storm', 'Søren K. Moestrup', 'Gregers R. Andersen']	Nature	article	4	2010-03-18T00:00:00+00:00	2	2	1	0.4	0.4	0.2
12820	1409636	None	Nature	article	29.278	2013-04-24T00:00:00+00:00	0	0	1	0	0	1
12922	3620500	['THOMAS E. ENGLAND', 'OLKE C. UHLENBECK', 'England, T E', 'Uhlenbeck, O C']	Nature	article	6	1978-10-12T00:00:00+00:00	1	0	5	0.166666666666667	0	0.833333333333333
13213	5795187	['Andreotti B', 'Fourrière A', 'Ould-Kaddour F', 'Murray B', 'Claudin P', 'Bruno Andreotti', 'Antoine Fourrière', 'Fouzia Ould-Kaddour', 'Brad Murray', 'Philippe Claudin']	Nature	article	0	2009-02-26T00:00:00+00:00	4	0	6	0.4	0	0.6
13304	21230438	['Kamaljit S. Bawa', 'R. Ganesan']	Nature	article	9.2	2017-06-21T00:00:00+00:00	0	0	2	0	0	1
13714	2329668	['Alexandra Witze']	Nature	news	62.25	2014-05-06T00:00:00+00:00	0	1	0	0	1	0
