id	altmetric_id	authors	journal	type	doi	altmetric_score	date	1day	2day	3day	4day	5day	6day	1week	1month	3month	6month	1year	alltime	pubyear	pubmonth	males	females	unknown	propmales	propfemales	propunknown	numauthors	firstgender	firstgenderprob	lastgender	lastgenderprob	authors_format	cleaned_authors
44	1272054	['David\xa0W. Van\xa0de\xa0Vosse', 'Yakun Wan', 'Diego\xa0L. Lapetina', 'Wei-Ming Chen', 'Jung-Hsien Chiang', 'John\xa0D. Aitchison', 'Richard\xa0W. Wozniak']	Cell	article	10.1016/j.cell.2013.01.049	2.75	2013-01-01T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	2.75	2013	1	7	0	0	1	0	0	7	male	0.99	male	0.99	firstlast	David VanDeVosse, Yakun Wan, Diego Lapetina, Wei-Ming Chen, Jung-Hsien Chiang, John Aitchison, Richard Wozniak
2798	587661	['David\xa0J. Anderson']	Cell	article	10.1016/j.cell.2011.12.022	14.7	2012-01-01T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	14.7	2012	1	1	0	0	1	0	0	1	male	0.99	male	0.99	firstlast	David Anderson
6290	431796	['JosephÂ\xa0E. LeDoux', 'Joshua P. Johansen', 'Christopher K. Cain', 'Linnaea E. Ostroff', 'Joseph E. LeDoux', 'Joshua\xa0P. Johansen', 'Christopher\xa0K. Cain', 'Linnaea\xa0E. Ostroff', 'Joseph\xa0E. LeDoux']	Cell	article	10.1016/j.cell.2011.10.009	19.5	2011-01-01T00:00:00+00:00	None	None	3	None	None	None	None	None	None	3	6	19.5	2011	1	4	1	0	0.8	0.2	0	5	male	0.81	male	0.99	firstlast	JosephÂ LeDoux, Joshua Johansen, Christopher Cain, Linnaea Ostroff, Joseph LeDoux
10828	4285532	['Richardson, Douglas S', 'Lichtman, Jeff W', 'Douglas\xa0S. Richardson', 'Jeff\xa0W. Lichtman', 'Douglas S. Richardson', 'Jeff W. Lichtman']	Cell	article	10.1016/j.cell.2015.06.067	101.276	2015-07-18T22:00:23+00:00	None	None	None	None	None	None	None	None	None	None	52.876	101.276	2015	7	2	0	0	1	0	0	2	male	0.95	male	0.99	firstlast	Richardson Douglas, Lichtman Jeff
12304	4346716	['Teng, Grace', 'Maman, Yaakov', 'Resch, Wolfgang', 'Kim, Min', 'Yamane, Arito', 'Qian, Jason', 'Kieffer-Kwon, Kyong-Rim', 'Mandal, Malay', 'Ji, Yanhong', 'Meffre, Eric', 'Clark, Marcus R', 'Cowell, Lindsay G', 'Casellas, Rafael', 'Schatz, David G', 'Grace Teng', 'Yaakov Maman', 'Wolfgang Resch', 'Min Kim', 'Arito Yamane', 'Jason Qian', 'Kyong-Rim Kieffer-Kwon', 'Malay Mandal', 'Yanhong Ji', 'Eric Meffre', 'Marcus\xa0R. Clark', 'Lindsay\xa0G. Cowell', 'Rafael Casellas', 'David\xa0G. Schatz']	Cell	article	10.1016/j.cell.2015.07.009	6.75	2015-08-04T14:31:47+00:00	None	None	None	None	None	None	None	None	None	None	None	6.75	2015	8	10	4	0	0.714285714285714	0.285714285714286	0	14	female	0.97	male	0.99	lastfirst	Teng Grace, Maman Yaakov, Resch Wolfgang, Kim Min, Yamane Arito, Qian Jason, Kieffer-Kwon Kyong-Rim, Mandal Malay, Ji Yanhong, Meffre Eric, Clark Marcus, Cowell Lindsay, Casellas Rafael, Schatz David
21343	6159942	['Neil Savage']	Cell	article	10.1016/j.cell.2016.02.051	5.95	2016-03-10T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	5.95	2016	3	1	0	0	1	0	0	1	male	0.99	male	0.99	firstlast	Neil Savage
22293	1240777	['Karla Kirkegaard', 'Gomez JA', 'Wapinski OL', 'Yang YW', 'Bureau JF', 'Gopinath S', 'Monack DM', 'Chang HY', 'Brahic M', 'Kirkegaard K', 'J.\xa0Antonio Gomez', 'Orly\xa0L. Wapinski', 'Yul\xa0W. Yang', 'Jean-François Bureau', 'Smita Gopinath', 'Denise\xa0M. Monack', 'Howard\xa0Y. Chang', 'Michel Brahic']	Cell	article	10.1016/j.cell.2013.01.015	9.1	2013-01-01T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	9.1	2013	1	6	2	1	0.666666666666667	0.222222222222222	0.111111111111111	9	female	0.98	male	0.6	firstlast	Karla Kirkegaard, Gomez J, Wapinski Orly, Yang Yul, Bureau Jean-François, Gopinath Smita, Monack Denise, Chang Howard, Brahic Michel
37011	798962	['David\xa0V. Schaffer']	Cell	article	10.1016/j.cell.2011.03.008	0.25	2011-01-01T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	0.25	2011	1	1	0	0	1	0	0	1	male	0.99	male	0.99	firstlast	David Schaffer
37892	3614447	['Rita Guerreiro', 'José Brás', 'John Hardy']	Cell	article	10.1016/j.cell.2015.01.052	3.5	2015-02-12T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	3.5	2015	2	2	1	0	0.666666666666667	0.333333333333333	0	3	female	0.98	male	0.99	firstlast	Rita Guerreiro, José Brás, John Hardy
44108	1537043	['Feng Wang', 'Damian\xa0C. Ekiert', 'Insha Ahmad', 'Wenli Yu', 'Yong Zhang', 'Omar Bazirgan', 'Ali Torkamani', 'Terje Raudsepp', 'Waithaka Mwangi', 'Michael\xa0F. Criscitiello', 'Ian\xa0A. Wilson', 'Peter\xa0G. Schultz', 'Vaughn\xa0V. Smider', 'Damian C. Ekiert', 'Michael F. Criscitiello', 'Ian A. Wilson', 'Peter G. Schultz', 'Vaughn V. Smider']	Cell	article	10.1016/j.cell.2013.04.049	138.058	2013-01-01T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	59.1	138.058	2013	1	9	0	4	0.692307692307692	0	0.307692307692308	13	male	0.79	male	1	lastfirst	Feng Wang, Insha Ahmad, Wenli Yu, Yong Zhang, Omar Bazirgan, Ali Torkamani, Terje Raudsepp, Waithaka Mwangi, Damian Ekiert, Michael Criscitiello, Ian Wilson, Peter Schultz, Vaughn Smider
47409	20912669	['Qian, Hongwu', 'Zhao, Xin', 'Cao, Pingping', 'Lei, Jianlin', 'Yan, Nieng', 'Gong, Xin', 'Hongwu Qian', 'Xin Zhao', 'Pingping Cao', 'Jianlin Lei', 'Nieng Yan', 'Xin Gong']	Cell	article	10.1016/j.cell.2017.05.020	21.1	2017-06-01T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	21.1	21.1	2017	6	3	3	0	0.5	0.5	0	6	female	0.7	male	0.8	firstlast	Qian Hongwu, Zhao Xin, Cao Pingping, Lei Jianlin, Yan Nieng, Gong Xin
48597	15129142	['Yongdae Shin', 'Joel Berry', 'Nicole Pannucci', 'Mikko P. Haataja', 'Jared E. Toettcher', 'Clifford P. Brangwynne', 'Shin, Yongdae', 'Berry, Joel', 'Pannucci, Nicole', 'Haataja, Mikko P', 'Toettcher, Jared E', 'Brangwynne, Clifford P']	Cell	article	10.1016/j.cell.2016.11.054	129.396	2016-12-29T00:00:00+00:00	None	None	11.75	None	None	None	None	None	None	4	12.5	129.396	2016	12	5	1	0	0.833333333333333	0.166666666666667	0	6	male	0.75	male	0.99	firstlast	Yongdae Shin, Joel Berry, Nicole Pannucci, Mikko Haataja, Jared Toettcher, Clifford Brangwynne
48974	3447885	['Forman, B M', 'Umesono, K', 'Chen, J', 'Evans, R M', 'Barry Marc Forman', 'Kazuhiko Umesono', 'Jasmine Chen', 'Ronald M. Evans']	Cell	article	10.1016/0092-8674(95)90075-6	6	2015-05-22T22:33:15+00:00	None	None	None	None	None	None	None	None	None	None	None	6	2015	5	3	1	0	0.75	0.25	0	4	male	0.97	male	0.99	lastfirst	Forman Barry, Umesono Kazuhiko, Chen Jasmine, Evans Ronald
55507	8168273	['Haque A', 'Engwerda CR']	Cell	article	10.1016/j.cell.2011.04.004	None	2011-04-28T23:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	None	2011	4	0	0	2	0	0	1	2	""		""		nofirstname	Haque A, Engwerda C
67263	8796290	['Jun Wu', 'Juan\xa0Carlos Izpisua\xa0Belmonte', 'Wu, Jun', 'Izpisua Belmonte, Juan Carlos']	Cell	article	10.1016/j.cell.2016.05.043	31.55	2016-06-16T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	31.55	2016	6	2	0	0	1	0	0	2	male	0.9	male	0.98	firstlast	Jun Wu, Juan Carlos
69767	4662135	['Shadel, Gerald S', 'Horvath, Tamas L', 'Gerald\xa0S. Shadel', 'Tamas\xa0L. Horvath']	Cell	article	10.1016/j.cell.2015.10.001	36.1	2015-10-27T22:02:28+00:00	None	None	None	None	None	None	None	None	None	None	25	36.1	2015	10	2	0	0	1	0	0	2	male	0.99	male	0.93	lastfirst	Shadel Gerald, Horvath Tamas
78816	1211500	['Ueli Schibler', 'Alan Gerber', 'Cyril Esnault', 'Gregory Aubert', 'Richard Treisman', 'François Pralong']	Cell	article	10.1016/j.cell.2012.12.027	6.6	2013-01-01T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	6.6	2013	1	6	0	0	1	0	0	6	male	0.98	male	1	firstlast	Ueli Schibler, Alan Gerber, Cyril Esnault, Gregory Aubert, Richard Treisman, François Pralong
84921	20912673	['Kai Zhang', 'Helen E. Foster', 'Arnaud Rondelet', 'Samuel E. Lacey', 'Nadia Bahi-Buisson', 'Alexander W. Bird', 'Andrew P. Carter', 'Zhang, Kai', 'Foster, Helen E.', 'Rondelet, Arnaud', 'Lacey, Samuel E.', 'Bahi-Buisson, Nadia', 'Bird, Alexander W.', 'Carter, Andrew P.']	Cell	article	10.1016/j.cell.2017.05.025	64.88	2017-06-08T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	64.88	64.88	2017	6	5	2	0	0.714285714285714	0.285714285714286	0	7	male	0.93	male	0.99	firstlast	Kai Zhang, Helen Foster, Arnaud Rondelet, Samuel Lacey, Nadia Bahi-Buisson, Alexander Bird, Andrew Carter
91655	3337500	['Revy, P', 'Muto, T', 'Levy, Y', 'Geissmann, F', 'Plebani, A', 'Sanal, O', 'Catalan, N', 'Forveille, M', 'Dufourcq-Labelouse, R', 'Gennery, A', 'Tezcan, I', 'Ersoy, F', 'Kayserili, H', 'Ugazio, A G', 'Brousse, N', 'Muramatsu, M', 'Notarangelo, L D', 'Kinoshita, K', 'Honjo, T', 'Fischer, A', 'Durandy, A', 'Patrick Revy', 'Taro Muto', 'Yves Levy', 'Frédéric Geissmann', 'Alessandro Plebani', 'Ozden Sanal', 'Nadia Catalan', 'Monique Forveille', 'Rémi Dufourcq-Lagelouse', 'Andrew Gennery', 'Ilhan Tezcan', 'Fugen Ersoy', 'Hulya Kayserili', 'Alberto G Ugazio', 'Nicole Brousse', 'Masamichi Muramatsu', 'Luigi D Notarangelo', 'Kazuo Kinoshita', 'Tasuku Honjo', 'Alain Fischer', 'Anne Durandy']	Cell	article	10.1016/s0092-8674(00)00079-9	13	2015-06-08T22:30:31+00:00	None	None	None	None	None	None	None	None	None	None	None	13	2015	6	15	6	1	0.681818181818182	0.272727272727273	0.0454545454545455	22	""		female	0.97	lastfirst	Dufourcq-Labelouse R, Revy Patrick, Muto Taro, Levy Yves, Geissmann Frédéric, Plebani Alessandro, Sanal Ozden, Catalan Nadia, Forveille Monique, Rémi Dufourcq-Lagelouse, Gennery Andrew, Tezcan Ilhan, Ersoy Fugen, Kayserili Hulya, Ugazio Alberto, Brousse Nicole, Muramatsu Masamichi, Notarangelo Luigi, Kinoshita Kazuo, Honjo Tasuku, Fischer Alain, Durandy Anne
93952	956690	['Robert\xa0A. Martienssen', 'Joseph\xa0P. Calarco', 'Filipe Borges', 'Mark\xa0T.A. Donoghue', 'Frédéric Van\xa0Ex', 'Pauline\xa0E. Jullien', 'Telma Lopes', 'Rui Gardner', 'Frédéric Berger', 'José\xa0A. Feijó', 'Jörg\xa0D. Becker']	Cell	article	10.1016/j.cell.2012.09.001	19.4	2012-09-20T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	19.4	2012	9	9	2	0	0.818181818181818	0.181818181818182	0	11	male	0.99	male	0.99	firstlast	Robert Martienssen, Joseph Calarco, Filipe Borges, Mark Donoghue, Frédéric Van, Pauline Jullien, Telma Lopes, Rui Gardner, Frédéric Berger, José Feijó, Jörg Becker
110080	13755711	['Brice\xa0E. Keyes', 'Siqi Liu', 'Amma Asare', 'Shruti Naik', 'John Levorse', 'Lisa Polak', 'Catherine\xa0P. Lu', 'Maria Nikolova', 'Hilda\xa0Amalia Pasolli', 'Elaine Fuchs', 'Keyes, Brice E', 'Liu, Siqi', 'Asare, Amma', 'Naik, Shruti', 'Levorse, John', 'Polak, Lisa', 'Lu, Catherine P', 'Nikolova, Maria', 'Pasolli, Hilda Amalia', 'Fuchs, Elaine', 'Brice E. Keyes', 'Catherine P. Lu', 'Hilda Amalia Pasolli']	Cell	article	10.1016/j.cell.2016.10.052	177.508	2016-11-01T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	177.508	2016	11	5	4	1	0.5	0.4	0.1	10	male	0.56	female	0.98	lastfirst	Siqi Liu, Amma Asare, Shruti Naik, John Levorse, Lisa Polak, Maria Nikolova, Elaine Fuchs, Brice Keyes, Catherine Lu, Hilda Amalia
111294	2218722	['Wolff S', 'Weissman JS', 'Dillin A', 'Suzanne Wolff', 'Jonathan\xa0S. Weissman', 'Andrew Dillin']	Cell	article	10.1016/j.cell.2014.03.007	30.05	2014-03-27T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	0.25	30.05	2014	3	2	1	0	0.666666666666667	0.333333333333333	0	3	female	0.98	male	0.99	lastfirst	Wolff Suzanne, Weissman Jonathan, Dillin Andrew
112415	4549639	['Stelzer, Yonatan', 'Shivalila, Chikdu Shakti', 'Soldner, Frank', 'Markoulaki, Styliani', 'Jaenisch, Rudolf', 'Yonatan Stelzer', 'Chikdu\xa0Shakti Shivalila', 'Frank Soldner', 'Styliani Markoulaki', 'Rudolf Jaenisch']	Cell	article	10.1016/j.cell.2015.08.046	77.88	2015-09-26T10:07:14+00:00	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	1.25	77.88	2015	9	3	1	1	0.6	0.2	0.2	5	male	0.98	male	0.99	lastfirst	Stelzer Yonatan, Shivalila Chikdu, Soldner Frank, Markoulaki Styliani, Jaenisch Rudolf
113473	11899585	['Andrew Wang', 'Sarah\xa0C. Huen', 'Harding\xa0H. Luan', 'Shuang Yu', 'Cuiling Zhang', 'Jean-Dominique Gallezot', 'Carmen\xa0J. Booth', 'Ruslan Medzhitov', 'Wang, Andrew', 'Huen, Sarah C', 'Luan, Harding H', 'Yu, Shuang', 'Zhang, Cuiling', 'Gallezot, Jean-Dominique', 'Booth, Carmen J', 'Medzhitov, Ruslan', 'Sarah C. Huen', 'Harding H. Luan', 'Carmen J. Booth']	Cell	article	10.1016/j.cell.2016.07.026	673.386	2016-09-08T00:00:00+00:00	8	8	25.95	None	None	8	8	None	11.6	21.6	36.65	673.386	2016	9	5	3	0	0.625	0.375	0	8	male	0.99	female	0.98	firstlast	Andrew Wang, Shuang Yu, Cuiling Zhang, Jean-Dominique Gallezot, Ruslan Medzhitov, Sarah Huen, Harding Luan, Carmen Booth
116024	3388982	['Peet, D J', 'Turley, S D', 'Ma, W', 'Janowski, B A', 'Lobaccaro, J M', 'Hammer, R E', 'Mangelsdorf, D J', 'Daniel J Peet', 'Stephen D Turley', 'Wenzhen Ma', 'Bethany A Janowski', 'Jean-Marc A Lobaccaro', 'Robert E Hammer', 'David J Mangelsdorf']	Cell	article	10.1016/s0092-8674(00)81432-4	10	2017-01-21T18:59:18+00:00	None	None	None	None	None	None	None	None	None	None	None	10	2017	1	5	2	0	0.714285714285714	0.285714285714286	0	7	male	0.99	male	0.99	lastfirst	Peet Daniel, Turley Stephen, Ma Wenzhen, Janowski Bethany, Lobaccaro Jean-Marc, Hammer Robert, Mangelsdorf David
123777	451113	['X.Z.\xa0Shawn Xu', 'Beverly\xa0J. Piggott', 'Jie Liu', 'Zhaoyang Feng', 'Seth\xa0A. Wescott']	Cell	article	10.1016/j.cell.2011.08.053	6.5	2011-01-01T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	6.5	2011	1	3	1	1	0.6	0.2	0.2	5	""		male	0.98	firstlast	X Shawn, Beverly Piggott, Jie Liu, Zhaoyang Feng, Seth Wescott
130923	1081710	['René Bernards', 'Sidong Huang', 'Michael Hölzel', 'Theo Knijnenburg', 'Andreas Schlicker', 'Paul Roepman', 'Ultan McDermott', 'Mathew Garnett', 'Wipawadee Grernrum', 'Chong Sun', 'Anirudh Prahallad', 'Floris\xa0H. Groenendijk', 'Lorenza Mittempergher', 'Wouter Nijkamp', 'Jacques Neefjes', 'Ramon Salazar', 'Peter ten\xa0Dijke', 'Hidetaka Uramoto', 'Fumihiro Tanaka', 'Roderick\xa0L. Beijersbergen', 'Lodewyk\xa0F.A. Wessels']	Cell	article	10.1016/j.cell.2012.10.035	45.35	2012-01-01T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	3	45.35	2012	1	18	2	1	0.857142857142857	0.0952380952380952	0.0476190476190476	21	""		male	1	firstlast	René Bernards, Sidong Huang, Michael Hölzel, Theo Knijnenburg, Andreas Schlicker, Paul Roepman, Ultan McDermott, Mathew Garnett, Wipawadee Grernrum, Chong Sun, Anirudh Prahallad, Floris Groenendijk, Lorenza Mittempergher, Wouter Nijkamp, Jacques Neefjes, Ramon Salazar, Peter ten, Hidetaka Uramoto, Fumihiro Tanaka, Roderick Beijersbergen, Lodewyk Wessels
134254	802947	['Alex\xa0L. Kolodkin', 'Riccomagno MM', 'Hurtado A', 'Wang H', 'Macopson JG', 'Griner EM', 'Betz A', 'Brose N', 'Kazanietz MG', 'Kolodkin AL', 'Martin\xa0M. Riccomagno', 'Andrés Hurtado', 'HongBin Wang', 'Joshua\xa0G.J. Macopson', 'Erin\xa0M. Griner', 'Andrea Betz', 'Nils Brose', 'Marcelo\xa0G. Kazanietz']	Cell	article	10.1016/j.cell.2012.05.018	5.5	2012-01-01T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	5.5	2012	1	5	1	3	0.555555555555556	0.111111111111111	0.333333333333333	9	male	0.9	""		firstlast	Alex Kolodkin, Riccomagno Martin, Hurtado Andrés, Wang HongBin, Macopson Joshua, Griner Erin, Betz Andrea, Brose Nils, Kazanietz Marcelo
135147	3546666	['Chen G', 'Mulla WA', 'Kucharavy A', 'Tsai HJ', 'Rubinstein B', 'Conkright J', 'McCroskey S', 'Bradford WD', 'Weems L', 'Haug JS', 'Seidel CW', 'Berman J', 'Li R', 'Guangbo Chen', 'Wahid\xa0A. Mulla', 'Andrei Kucharavy', 'Hung-Ji Tsai', 'Boris Rubinstein', 'Juliana Conkright', 'Scott McCroskey', 'William\xa0D. Bradford', 'Lauren Weems', 'Jeff\xa0S. Haug', 'Chris\xa0W. Seidel', 'Judith Berman', 'Rong Li']	Cell	article	10.1016/j.cell.2015.01.026	47.05	2015-12-02T00:00:00+00:00	None	None	3	None	None	None	None	None	None	3	3	47.05	2015	12	10	3	0	0.769230769230769	0.230769230769231	0	13	male	0.62	male	0.59	lastfirst	Chen Guangbo, Mulla Wahid, Kucharavy Andrei, Tsai Hung-Ji, Rubinstein Boris, Conkright Juliana, McCroskey Scott, Bradford William, Weems Lauren, Haug Jeff, Seidel Chris, Berman Judith, Li Rong
143136	492653	['Huihui Chen', 'Hui Sun', 'Fuping You', 'Wenxiang Sun', 'Xiang Zhou', 'Lu Chen', 'Jing Yang', 'Yutao Wang', 'Hong Tang', 'Yukun Guan', 'Weiwei Xia', 'Jun Gu', 'Hiroki Ishikawa', 'Delia Gutman', 'Glen Barber', 'Zhihai Qin', 'Zhengfan Jiang']	Cell	article	10.1016/j.cell.2011.09.022	6.5	2011-10-14T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	6.5	2011	10	11	6	0	0.647058823529412	0.352941176470588	0	17	female	0.74	male	0.75	firstlast	Huihui Chen, Hui Sun, Fuping You, Wenxiang Sun, Xiang Zhou, Lu Chen, Jing Yang, Yutao Wang, Hong Tang, Yukun Guan, Weiwei Xia, Jun Gu, Hiroki Ishikawa, Delia Gutman, Glen Barber, Zhihai Qin, Zhengfan Jiang
164196	12185443	['Sedlyarova, Nadezda', 'Shamovsky, Ilya', 'Bharati, Binod K', 'Epshtein, Vitaly', 'Chen, Jiandong', 'Gottesman, Susan', 'Schroeder, Renée', 'Nudler, Evgeny', 'Sedlyarova N', 'Shamovsky I', 'Bharati BK', 'Epshtein V', 'Chen J', 'Gottesman S', 'Schroeder R', 'Nudler E', 'Nadezda Sedlyarova', 'Ilya Shamovsky', 'Binod\xa0K. Bharati', 'Vitaly Epshtein', 'Jiandong Chen', 'Susan Gottesman', 'Renée Schroeder', 'Evgeny Nudler', 'Binod K. Bharati']	Cell	article	10.1016/j.cell.2016.09.004	15.2	2016-09-01T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	15.2	2016	9	5	3	0	0.625	0.375	0	8	female	0.99	male	1	lastfirst	Sedlyarova Nadezda, Shamovsky Ilya, Epshtein Vitaly, Chen Jiandong, Gottesman Susan, Schroeder Renée, Nudler Evgeny, Bharati Binod
164485	431795	['Rachel Bernstein']	Cell	article	10.1016/j.cell.2011.10.010	9.6	2011-01-01T00:00:00+00:00	None	None	0.5	None	None	None	None	None	None	None	0.5	9.6	2011	1	0	1	0	0	1	0	1	female	0.98	female	0.98	firstlast	Rachel Bernstein
165192	630267	['Gerald\xa0I. Shulman', 'Samuel VT', 'Shulman GI', 'Varman T. Samuel', 'Gerald I. Shulman', 'Varman\xa0T. Samuel']	Cell	article	10.1016/j.cell.2012.02.017	57.148	2012-01-01T00:00:00+00:00	None	None	20.25	None	None	None	None	None	None	16.25	26.6	57.148	2012	1	2	0	0	1	0	0	2	male	0.99	male	0.99	firstlast	Gerald Shulman, Samuel Varman
169922	530105	['Edlich F', 'Banerjee S', 'Suzuki M', 'Cleland MM', 'Arnoult D', 'Wang C', 'Neutzner A', 'Tjandra N', 'Youle RJ']	Cell	article	10.1016/j.cell.2011.02.034	1	2011-04-05T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	1	2011	4	0	0	9	0	0	1	9	""		""		nofirstname	Edlich F, Banerjee S, Suzuki M, Cleland M, Arnoult D, Wang C, Neutzner A, Tjandra N, Youle R
173365	881102	['Claudia Lukas', 'Gudjonsson T', 'Altmeyer M', 'Savic V', 'Toledo L', 'Dinant C', 'Grøfte M', 'Bartkova J', 'Poulsen M', 'Oka Y', 'Bekker-Jensen S', 'Mailand N', 'Neumann B', 'Heriche JK', 'Shearer R', 'Saunders D', 'Bartek J', 'Lukas J', 'Lukas C', 'Thorkell Gudjonsson', 'Matthias Altmeyer', 'Velibor Savic', 'Luis Toledo', 'Christoffel Dinant', 'Merete Grøfte', 'Jirina Bartkova', 'Maria Poulsen', 'Yasuyoshi Oka', 'Simon Bekker-Jensen', 'Niels Mailand', 'Beate Neumann', 'Jean-Karim Heriche', 'Robert Shearer', 'Darren Saunders', 'Jiri Bartek', 'Jiri Lukas']	Cell	article	10.1016/j.cell.2012.06.039	5.85	2012-08-09T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	5.85	2012	8	13	2	3	0.722222222222222	0.111111111111111	0.166666666666667	18	female	0.98	male	0.99	firstlast	Claudia Lukas, Gudjonsson Thorkell, Altmeyer Matthias, Savic Velibor, Toledo Luis, Dinant Christoffel, Grøfte Merete, Bartkova Jirina, Poulsen Maria, Oka Yasuyoshi, Bekker-Jensen Simon, Mailand Niels, Neumann Beate, Heriche Jean-Karim, Shearer Robert, Saunders Darren, Bartek Jiri, Lukas Jiri
192671	22529580	['Kvajo M']	Cell	article	None	None	2014-10-09T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	None	2014	10	0	0	1	0	0	1	1	""		""		nofirstname	Kvajo M
203082	31555735	['Christ, Anette', 'Günther, Patrick', 'Lauterbach, Mario A.R.', 'Duewell, Peter', 'Biswas, Debjani', 'Pelka, Karin', 'Scholz, Claus J.', 'Oosting, Marije', 'Haendler, Kristian', 'Baßler, Kevin', 'Klee, Kathrin', 'Schulte-Schrepping, Jonas', 'Ulas, Thomas', 'Moorlag, Simone J.C.F.M.', 'Kumar, Vinod', 'Park, Min Hi', 'Joosten, Leo A.B.', 'Groh, Laszlo A.', 'Riksen, Niels P.', 'Espevik, Terje', 'Schlitzer, Andreas', 'Li, Yang', 'Fitzgerald, Michael L.', 'Netea, Mihai G.', 'Schultze, Joachim L.', 'Latz, Eicke', 'Anette Christ', 'Patrick Günther', 'Mario A.R. Lauterbach', 'Peter Duewell', 'Debjani Biswas', 'Karin Pelka', 'Claus J. Scholz', 'Marije Oosting', 'Kristian Haendler', 'Kevin Baßler', 'Kathrin Klee', 'Jonas Schulte-Schrepping', 'Thomas Ulas', 'Simone J.C.F.M. Moorlag', 'Vinod Kumar', 'Min Hi Park', 'Leo A.B. Joosten', 'Laszlo A. Groh', 'Niels P. Riksen', 'Terje Espevik', 'Andreas Schlitzer', 'Yang Li', 'Michael L. Fitzgerald', 'Mihai G. Netea', 'Joachim L. Schultze', 'Eicke Latz']	Cell	article	10.1016/j.cell.2017.12.013	1179.876	2018-01-01T00:00:00+00:00	None	None	1179.876	None	None	None	None	None	1	16.5	1179.876	1179.876	2018	1	21	5	0	0.807692307692308	0.192307692307692	0	26	female	0.98	male	1	lastfirst	Christ Anette, Günther Patrick, Lauterbach Mario, Duewell Peter, Biswas Debjani, Pelka Karin, Scholz Claus, Oosting Marije, Haendler Kristian, Baßler Kevin, Klee Kathrin, Schulte-Schrepping Jonas, Ulas Thomas, Moorlag Simone, Kumar Vinod, Park Min, Joosten Leo, Groh Laszlo, Riksen Niels, Espevik Terje, Schlitzer Andreas, Li Yang, Fitzgerald Michael, Netea Mihai, Schultze Joachim, Latz Eicke
203151	673000	['Scott Keeney']	Cell	article	10.1016/j.cell.2012.03.011	0.25	2012-01-01T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	0.25	2012	1	1	0	0	1	0	0	1	male	0.99	male	0.99	firstlast	Scott Keeney
204477	505065	['Ansari, Aseem Z', 'Rosner, Marsha Rich', 'Adler, Julius', 'Aseem\xa0Z. Ansari', 'Marsha\xa0Rich Rosner', 'Julius Adler']	Cell	article	10.1016/j.cell.2011.12.008	25.98	2011-12-22T00:00:00+00:00	None	None	17.72	None	None	None	None	None	None	None	17.72	25.98	2011	12	2	1	0	0.666666666666667	0.333333333333333	0	3	male	1	male	0.99	lastfirst	Ansari Aseem, Rosner Marsha, Adler Julius
209916	673019	['Lluís Ribas\xa0de\xa0Pouplana', 'Novoa EM', 'Pavon-Eternod M', 'Pan T', 'Ribas de Pouplana L', 'Eva\xa0Maria Novoa', 'Mariana Pavon-Eternod', 'Tao Pan']	Cell	article	10.1016/j.cell.2012.01.050	10	2012-01-01T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	10	2012	1	1	2	1	0.25	0.5	0.25	4	""		male	0.86	lastfirst	Lluís Ribas, Novoa Eva, Pavon-Eternod Mariana, Pan Tao
223457	7636219	['Sha Liu', 'Qili Liu', 'Masashi Tabuchi', 'Mark\xa0N. Wu', 'Liu, Sha', 'Liu, Qili', 'Tabuchi, Masashi', 'Wu, Mark N', 'Mark N. Wu']	Cell	article	10.1016/j.cell.2016.04.013	423.396	2016-05-19T00:00:00+00:00	None	None	None	None	None	None	None	None	None	None	None	423.396	2016	5	3	1	0	0.75	0.25	0	4	female	0.62	male	0.99	firstlast	Sha Liu, Qili Liu, Masashi Tabuchi, Mark Wu
