id	altmetric_id	authors	journal	type	doi	altmetric_score	date	pubyear	pubmonth	males	females	unknown	propmales	propfemales	propunknown	numauthors	firstgender	firstgenderprob	lastgender	lastgenderprob	authors_format	cleaned_authors																																																																																								
1850234	4637984	['Michael W Konrad']	bioRxiv	article	10.1101/029322	1	2015-10-16T00:00:00+00:00	2015	10	1	0	0	1	0	0	1	male	0.99	male	0.99	firstlast	Michael Konrad																																																																																								
1850322	42525239	"['Matt Craddock', 'Ekaterini Klepousniotou', 'Wael El-Deredy', 'Ellen Poliakoff', 'Donna M. Lloyd']"	bioRxiv	article	10.1101/330134	6.95	2018-05-24T00:00:00+00:00	2018	5	2	2	1	0.4	0.4	0.2	5	male	0.99	female	0.98	firstlast	"Matt Craddock, Ekaterini Klepousniotou, Wael El-Deredy, Ellen Poliakoff, Donna Lloyd"																																																																																								
1850543	2145274	['John Stewart Taylor']	bioRxiv	article	10.1101/003004	12.498	2014-02-25T00:00:00+00:00	2014	2	1	0	0	1	0	0	1	male	0.99	male	0.99	firstlast	John Stewart Taylor																																																																																								
1851366	32079864	"['Alessandra Anzolin', 'Paolo Presti', 'Frederik Van de Steen', 'Laura Astolfi', 'Stefan Haufe', 'Daniele Marinazzo']"	bioRxiv	article	10.1101/251223	20.6	2018-01-22T00:00:00+00:00	2018	1	4	2	0	0.666666667	0.333333333	0	6	female	0.99	male	0.95	firstlast	"Alessandra Anzolin, Paolo Presti, Frederik VanDeSteen, Laura Astolfi, Stefan Haufe, Daniele Marinazzo"																																																																																								
1851586	12457269	"['S. M. Hossein Tabatabaei Yazdi', 'Ryan Gabrys', 'Olgica Milenkovic']"	bioRxiv	article	10.1101/079442	51.95	2016-10-05T00:00:00+00:00	2016	10	1	1	1	0.333333333	0.333333333	0.333333333	3			female	0.98	firstlast	"S Hossein, Ryan Gabrys, Olgica Milenkovic"																																																																																								
1851769	32486606	"['Emma J Chory', 'Joseph P Calarco', 'Nathaniel A Hathaway', 'Oliver Bell', 'Dana Neel', 'Gerald R Crabtree']"	bioRxiv	article	10.1101/256321	21.55	2018-01-31T00:00:00+00:00	2018	1	4	2	0	0.666666667	0.333333333	0	6	female	0.93	male	0.99	firstlast	"Emma Chory, Joseph Calarco, Nathaniel Hathaway, Oliver Bell, Dana Neel, Gerald Crabtree"																																																																																								
1854047	32477385	"['Nan Papili Gao', 'Thomas Hartmann', 'Rudiyanto Gunawan']"	bioRxiv	article	10.1101/257550	14.93	2018-01-31T00:00:00+00:00	2018	1	2	1	0	0.666666667	0.333333333	0	3	female	0.7	male	1	firstlast	"Nan Papili, Thomas Hartmann, Rudiyanto Gunawan"																																																																																								
1855875	16281061	"['Demian Battaglia', 'Boudou Thomas', 'Enrique CA Hansen', 'Sabrina Chettouf', 'Andreas Daffertshofer', 'Anthony R McIntosh', 'Joelle Zimmermann', 'Petra Ritter', 'Viktor Jirsa']"	bioRxiv	article	10.1101/107243	10.55	2017-02-09T00:00:00+00:00	2017	2	6	3	0	0.666666667	0.333333333	0	9	male	0.92	male	0.99	firstlast	"Demian Battaglia, Boudou Thomas, Enrique Hansen, Sabrina Chettouf, Andreas Daffertshofer, Anthony McIntosh, Joelle Zimmermann, Petra Ritter, Viktor Jirsa"																																																																																								
1857488	42319373	"['Joane S Elleouet', 'Sally N Aitken']"	bioRxiv	article	10.1101/327742	10.8	2018-05-22T00:00:00+00:00	2018	5	0	2	0	0	1	0	2	female	0.85	female	0.95	firstlast	"Joane Elleouet, Sally Aitken"																																																																																								
1857546	27417028	"['Alexander V. Lebedev', 'Jonna Nilsson', 'Martin Lovden']"	bioRxiv	article	10.1101/202630	10.3	2017-10-13T00:00:00+00:00	2017	10	2	1	0	0.666666667	0.333333333	0	3	male	0.99	male	0.98	firstlast	"Alexander Lebedev, Jonna Nilsson, Martin Lovden"																																																																																								
1858060	34646709	"['Rakesh Pathak', 'Priyanka Singh', 'Sudha Ananthakrishnan', 'Sarah Adamczyk', 'Olivia Schimmel', 'Chhabi K. Govind']"	bioRxiv	article	10.1101/285932	1	2018-03-20T00:00:00+00:00	2018	3	2	4	0	0.333333333	0.666666667	0	6	male	0.99	male	0.79	firstlast	"Rakesh Pathak, Priyanka Singh, Sudha Ananthakrishnan, Sarah Adamczyk, Olivia Schimmel, Chhabi Govind"																																																																																								
1858835	5047232	"['BENJAMIN W DOMINGUE', 'Jason D. Boardman']"	bioRxiv	article	10.1101/037861	11.5	2016-01-26T00:00:00+00:00	2016	1	1	0	1	0.5	0	0.5	2			male	0.99	firstlast	"BNJAMIN DOMINGUE, Jason Boardman"																																																																																								
1859668	12404350	"['Michael Skocik', 'John Collins', 'Chloe Callahan-Flintoft', 'Howard Bowman', 'Brad Wyble']"	bioRxiv	article	10.1101/078816	164.2	2016-10-03T00:00:00+00:00	2016	10	4	1	0	0.8	0.2	0	5	male	0.99	male	0.99	firstlast	"Michael Skocik, John Collins, Chloe Callahan-Flintoft, Howard Bowman, Brad Wyble"																																																																																								
1859788	13871979	"['Hanna Romanowicz', 'Dominik Strapagiel', 'Marcin Slomka', 'Marta Sobalska-Kwapis', 'Ewa Kepka', 'Anna Siewierska-Gorska', 'Marek Zadrozny', 'Beata Smolarz']"	bioRxiv	article	10.1101/088948	1.5	2016-11-21T00:00:00+00:00	2016	11	3	5	0	0.375	0.625	0	8	female	0.95	female	0.98	firstlast	"Hanna Romanowicz, Dominik Strapagiel, Marcin Slomka, Marta Sobalska-Kwapis, Ewa Kepka, Anna Siewierska-Gorska, Marek Zadrozny, Beata Smolarz"																																																																																								
1860440	40759931	"['Levent Albayrak', 'Kamil Khanipov', 'George Golovko', 'Yuriy Fofanov']"	bioRxiv	article	10.1101/315473	7.4	2018-05-05T00:00:00+00:00	2018	5	4	0	0	1	0	0	4	male	0.97	male	1	firstlast	"Levent Albayrak, Kamil Khanipov, George Golovko, Yuriy Fofanov"																																																																																								
1861249	5634560	"['Kai Zhang', 'Siliang Lin', 'Yinqiu Ji', 'Chenxue Yang', 'Xiaoyang Wang', 'Chunyan Yang', 'H. Wang', 'Haisheng Jiang', 'Rhett Harrison', 'Douglas W. Yu']"	bioRxiv	article	10.1101/040105	2.25	2016-02-18T00:00:00+00:00	2016	2	8	1	1	0.8	0.1	0.1	10	male	0.93			lastfirst	"Kai Zhang, Siliang Lin, Yinqiu Ji, Chenxue Yang, Xiaoyang Wang, Chunyan Yang, H Wang, Haisheng Jiang, Rhett Harrison, Douglas Yu"																																																																																								
1861565	6577795	"['Joshua Welch', 'Alexander Hartemink', 'Jan F Prins']"	bioRxiv	article	10.1101/047845	12.43	2016-04-09T00:00:00+00:00	2016	4	3	0	0	1	0	0	3	male	0.99	male	0.95	firstlast	"Joshua Welch, Alexander Hartemink, Jan Prins"																																																																																								
1861813	27526686	"['Kristoffer Krogerus', 'Sami Holmstrom', 'Brian Gibson']"	bioRxiv	article	10.1101/204198	13.75	2017-10-16T00:00:00+00:00	2017	10	3	0	0	1	0	0	3	male	1	male	0.99	firstlast	"Kristoffer Krogerus, Sami Holmstrom, Brian Gibson"																																																																																								
1862053	40843153	['Nitin Motilal Gandhi']	bioRxiv	article	10.1101/316943	2	2018-05-08T00:00:00+00:00	2018	5	1	0	0	1	0	0	1	male	1	male	1	firstlast	Nitin Motilal Gandhi																																																																																								
1862230	8113310	"['Nadezhda V Terekhanova', 'Vladimir Seplyarskiy', 'Ruslan A. Soldatov', 'Georgii A Bazykin']"	bioRxiv	article	10.1101/054825	8.7	2016-05-22T00:00:00+00:00	2016	5	3	1	0	0.75	0.25	0	4	female	0.99	male	0.69	firstlast	"Nadezhda Terekhanova, Vladimir Seplyarskiy, Ruslan Soldatov, Georgii Bazykin"																																																																																								
1864117	21272005	"['Shan Shen', 'Wei Ji Ma']"	bioRxiv	article	10.1101/153650	21.35	2017-06-22T00:00:00+00:00	2017	6	2	0	0	1	0	0	2	male	0.68	male	0.79	firstlast	"Shan Shen, Wei Ji"																																																																																								
1865626	29219819	"['Giuliano G Stirparo', 'Thorsten Boroviak', 'Ge Guo', 'Jennifer Nichols', 'Austin Smith', 'Paul Bertone']"	bioRxiv	article	10.1101/222760	15.784	2017-11-21T00:00:00+00:00	2017	11	5	1	0	0.833333333	0.166666667	0	6	male	0.99	male	0.99	firstlast	"Giuliano Stirparo, Thorsten Boroviak, Ge Guo, Jennifer Nichols, Austin Smith, Paul Bertone"																																																																																								
1865877	33370584	"['Ana Paula Semedo-Aguiar', 'Jose Bartholo Pereira-Leal', 'Ricardo Bastos Leite']"	bioRxiv	article	10.1101/266957	9.93	2018-02-18T00:00:00+00:00	2018	2	2	1	0	0.666666667	0.333333333	0	3	female	0.98	male	0.99	firstlast	"Ana Paula, Jose Bartholo, Ricardo Bastos"																																																																																								
1866380	9634857	"['Eva Christine Preisner', 'Erin Biers Fichot', 'Robert Sean Norman']"	bioRxiv	article	10.1101/063370	9.68	2016-07-12T00:00:00+00:00	2016	7	1	2	0	0.333333333	0.666666667	0	3	female	0.98	male	0.99	firstlast	"Eva Christine, Erin Biers, Robert Sean"																																																																																								
1866459	41835647	"['Christopher Lee', 'Brad  M Matz', 'Robert  C Cole', 'Harry  W Boothe', 'D  Michael Tillson']"	bioRxiv	article	10.1101/325183	0.25	2018-05-17T00:00:00+00:00	2018	5	4	0	1	0.8	0	0.2	5	male	0.99			firstlast	"Christopher Lee, Brad Matz, Robert Cole, Harry Boothe, D Michael"																																																																																								
1866974	24083786	"['Ciqing Yang', 'Xiaoying Li', 'Qiuling Li', 'Qiong Li', 'Han Li', 'Bichao Zhang', 'Juntang Lin']"	bioRxiv	article	10.1101/178491	8.434	2017-08-19T00:00:00+00:00	2017	8	2	5	0	0.285714286	0.714285714	0	7	male	0.64	female	0.63	lastfirst	"Ciqing Yang, Xiaoying Li, Qiuling Li, Qiong Li, Han Li, Bichao Zhang, Juntang Lin"																																																																																								
1867140	10278900	"['Maria Rebolleda-Gomez', 'William C. Ratcliff', 'Fankhauser Jonathon', 'Michael Travisano']"	bioRxiv	article	10.1101/067991	38.958	2016-08-05T00:00:00+00:00	2016	8	3	1	0	0.75	0.25	0	4	female	0.98	male	0.99	firstlast	"Maria Rebolleda-Gomez, William Ratcliff, Fankhauser Jonathon, Michael Travisano"																																																																																								
1867476	21451740	"['Laurent Jacob', 'Florence Combes', 'Thomas Burger']"	bioRxiv	article	10.1101/158212	10.05	2017-06-30T00:00:00+00:00	2017	6	2	1	0	0.666666667	0.333333333	0	3	male	0.99	male	0.99	firstlast	"Laurent Jacob, Florence Combes, Thomas Burger"																																																																																								
1869144	24576086	"['Anuradha Vajjala', 'Debabrata Biswas', 'Kelvin Chong', 'Wei Hong Tay', 'Emanuel Hanski', 'Kimberly Kline']"	bioRxiv	article	10.1101/183012	3.25	2017-08-31T00:00:00+00:00	2017	8	3	2	1	0.5	0.333333333	0.166666667	6	female	0.78	female	0.99	firstlast	"Anuradha Vajjala, Debabrata Biswas, Kelvin Chong, Wei Hong, Emanuel Hanski, Kimberly Kline"																																																																																								
1869506	31901025	"['Catalina Palacios', 'Silvana Garcia-R', 'Juan Luis Parra', 'Andres M. Cuervo', 'F. Gary Stiles', 'John E. McCormack', 'Carlos Daniel Cadena']"	bioRxiv	article	10.1101/249755	23.85	2018-01-18T00:00:00+00:00	2018	1	4	2	1	0.571428571	0.285714286	0.142857143	7	female	0.98			firstlast	"Catalina Palacios, Silvana Garcia-R, Juan Luis, Andres Cuervo, F Gary, John McCormack, Carlos Daniel"																																																																																								
1869782	12126693	"['Hector Climente-Gonzalez', 'Eduard Porta-Pardo', 'Adam Godzik', 'Eduardo Eyras']"	bioRxiv	article	10.1101/076653	44.1	2016-09-21T00:00:00+00:00	2016	9	4	0	0	1	0	0	4	male	0.99	male	0.99	firstlast	"Hector Climente-Gonzalez, Eduard Porta-Pardo, Adam Godzik, Eduardo Eyras"																																																																																								
1870402	43509699	"['Jonathan Schneider', 'Nihal Murali', 'Graham Taylor', 'Joel Levine']"	bioRxiv	article	10.1101/342857	28.45	2018-06-08T00:00:00+00:00	2018	6	4	0	0	1	0	0	4	male	0.99	male	0.98	firstlast	"Jonathan Schneider, Nihal Murali, Graham Taylor, Joel Levine"																																																																																								
1870660	10104866	"['Pravrutha Raman', 'Soriayah Zaghab', 'Edward Traver', 'Antony Jose']"	bioRxiv	article	10.1101/066415	8.434	2016-07-28T00:00:00+00:00	2016	7	3	0	1	0.75	0	0.25	4	male	0.94	male	0.98	firstlast	"Pravrutha Raman, Soriayah Zaghab, Edward Traver, Antony Jose"																																																																																								
1870784	21092322	"['Vladimir Yu. Kiselev', 'Martin Hemberg', 'Andrew Yiu']"	bioRxiv	article	10.1101/150292	26.334	2017-06-15T00:00:00+00:00	2017	6	3	0	0	1	0	0	3	male	0.99	male	0.99	firstlast	"Vladimir Yu, Martin Hemberg, Andrew Yiu"																																																																																								
1870871	32372999	"['Sebastian Duchene', 'Remco Bouckaert', 'David A Duchene', 'Tanja Stadler', 'Alexei J Drummond']"	bioRxiv	article	10.1101/255596	3.5	2018-01-29T00:00:00+00:00	2018	1	4	1	0	0.8	0.2	0	5	male	0.99	male	0.98	firstlast	"Sebastian Duchene, Remco Bouckaert, David Duchene, Tanja Stadler, Alexei Drummond"																																																																																								
1872770	9663307	"['Floriane Lacour', 'Elsa Vezin', 'Florian Bentzinger', 'Marie-Claude Sincennes', 'Michael A Rudnicki', 'Robert D Mitchell', 'Ketan Patel', 'Marie-Christine Chaboissier', 'Anne-Amandine Chassot', 'Fabien Le Grand']"	bioRxiv	article	10.1101/063669	9.534	2016-07-13T00:00:00+00:00	2016	7	6	4	0	0.6	0.4	0	10	female	0.97	male	0.99	firstlast	"Floriane Lacour, Elsa Vezin, Florian Bentzinger, Marie-Claude Sincennes, Michael Rudnicki, Robert Mitchell, Ketan Patel, Marie-Christine Chaboissier, Anne-Amandine Chassot, Fabien Le"																																																																																								
1873015	24768082	"['Gemma E Barnacle', 'Dimitris Tsivilis', 'Alexandre Schaefer', 'Deborah Talmi']"	bioRxiv	article	10.1101/184309	2.75	2017-09-04T00:00:00+00:00	2017	9	2	2	0	0.5	0.5	0	4	female	0.98	female	0.99	firstlast	"Gemma Barnacle, Dimitris Tsivilis, Alexandre Schaefer, Deborah Talmi"																																																																																								
1873643	24160870	"['Alejo J. Nevado-Holgado', 'Elena Ribe', 'Laura Thei', 'Laura Furlong', 'Miguel Angel-Mayer', 'Jie Quan', 'Jill C. Richardson', 'Jonathan Cavanagh', 'NIMA Consortium', 'Simon Lovestone']"	bioRxiv	article	10.1101/179267	2.75	2017-08-21T00:00:00+00:00	2017	8	5	5	0	0.5	0.5	0	10	male	0.98	male	0.98	firstlast	"Alejo Nevado-Holgado, Elena Ribe, Laura Thei, Laura Furlong, Miguel Angel-Mayer, Jie Quan, Jill Richardson, Jonathan Cavanagh, NMA Consortium, Simon Lovestone"																																																																																								
1874479	20191318	"['Alexander P. S. Darlington', 'Juhyun Kim', 'Jose I. Jimenez', 'Declan G. Bates']"	bioRxiv	article	10.1101/138362	37.75	2017-05-16T00:00:00+00:00	2017	5	3	1	0	0.75	0.25	0	4	male	0.99	male	0.99	firstlast	"Alexander Darlington, Juhyun Kim, Jose Jimenez, Declan Bates"																																																																																								
1876500	33900109	"['Amit Shrestha', 'Carraro Gianni', 'Nicolas Nottet', 'Ana Ivonne Vasquez-Armendariz', 'Susanne Herold', 'Julio Cordero', 'Indra Bahadur Singh', 'Jochen Wilhelm', 'Guillermo Barreto', 'Cho-Ming Chao', 'Elie El Agha', 'Bernard Mari', 'Jin-San Zhang', 'Saverio Bellusci']"	bioRxiv	article	10.1101/253229	8.684	2018-03-03T00:00:00+00:00	2018	3	12	2	0	0.857142857	0.142857143	0	14	male	0.99	male	0.99	firstlast	"Amit Shrestha, Carraro Gianni, Nicolas Nottet, Ana Ivonne, Susanne Herold, Julio Cordero, Indra Bahadur, Jochen Wilhelm, Guillermo Barreto, Cho-Ming Chao, Elie El, Bernard Mari, Jin-San Zhang, Saverio Bellusci"																																																																																								
1876562	8643987	"['Douglas Bruce Kell', 'Etheresia Pretorius']"	bioRxiv	article	10.1101/057851	3.35	2016-06-10T00:00:00+00:00	2016	6	1	0	1	0.5	0	0.5	2	male	0.99			firstlast	"Douglas Bruce, Etheresia Pretorius"																																																																																								
1877975	29178192	"['Maria Elena Martino', 'Pauline Joncour', 'Ryan Leenay', 'Hugo Gervais', 'Malay Shaw', 'Sandrine Hughes', 'Benjamin Gillet', 'Chase Beisel', 'Francois Leulier', 'Malay Shah']"	bioRxiv	article	10.1101/222364	38	2017-11-20T00:00:00+00:00	2017	11	7	3	0	0.7	0.3	0	10	female	0.98	male	0.82	firstlast	"Maria Elena, Pauline Joncour, Ryan Leenay, Hugo Gervais, Malay Shaw, Sandrine Hughes, Benjamin Gillet, Chase Beisel, Francois Leulier, Malay Shah"																																																																																								
1877992	15574500	"['Yodai Takei', 'Sheel Shah', 'Sho Harvey', 'Lei S Qi', 'Long Cai']"	bioRxiv	article	10.1101/101477	25.084	2017-01-18T00:00:00+00:00	2017	1	4	0	1	0.8	0	0.2	5			male	0.61	lastfirst	"Yodai Takei, Sheel Shah, Sho Harvey, Lei Qi, Long Cai"																																																																																								
1878524	33169204	"['Natalie Exner Dean', 'Pierre-Stephane Gsell', 'Ron Brookmeyer', 'Victor DeGruttola', 'Christl Donnelly', 'M Elizabeth Halloran', 'Momodou Jasseh', 'Martha C Nason', 'Alina Ximena Riveros Balta', 'Conall Watson', 'Ana Maria Henao-Restrepo', 'Ira M Longini']"	bioRxiv	article	10.1101/261875	1	2018-02-13T00:00:00+00:00	2018	2	5	6	1	0.416666667	0.5	0.083333333	12	female	0.98			firstlast	"Natalie Exner, Pierre-Stephane Gsell, Ron Brookmeyer, Victor DeGruttola, Christl Donnelly, M Elizabeth, Momodou Jasseh, Martha Nason, Alina Ximena, Conall Watson, Ana Maria, Ira Longini"																																																																																								
1878859	38490221	"['Paul Daniel', 'Gulay Filiz', 'Martin Tymms', 'Robert Ramsay', 'Andrew Henry Kaye', 'Stanley Stylli', 'Theo Mantamadiotis']"	bioRxiv	article	10.1101/305052	1	2018-04-20T00:00:00+00:00	2018	4	6	1	0	0.857142857	0.142857143	0	7	male	0.99	male	0.97	firstlast	"Paul Daniel, Gulay Filiz, Martin Tymms, Robert Ramsay, Andrew Henry, Stanley Stylli, Theo Mantamadiotis"																																																																																								
1879403	20957874	"['Jason W. Shapiro', 'Catherine Putonti']"	bioRxiv	article	10.1101/148668	35.78	2017-06-11T00:00:00+00:00	2017	6	1	1	0	0.5	0.5	0	2	male	0.99	female	0.98	firstlast	"Jason Shapiro, Catherine Putonti"																																																																																								
1879843	31278330	"['David A Galbraith', 'Zachary Fuller', 'Axel Brockmann', 'Maryann Frazier', 'Mary W Gikungu', 'Karen M Kapheim', 'Jeffrey T Kerby', 'Sarah D Kocher', 'Oleksiy Losyev', 'Elliud Muli', 'Harland M Patch', 'Joyce M Sakamoto', 'Scott Stanley', 'Anthony D Vaudo', 'Christina M Grozinger']"	bioRxiv	article	10.1101/243139	7.3	2018-01-04T00:00:00+00:00	2018	1	9	6	0	0.6	0.4	0	15	male	0.99	female	0.98	firstlast	"David Galbraith, Zachary Fuller, Axel Brockmann, Maryann Frazier, Mary Gikungu, Karen Kapheim, Jeffrey Kerby, Sarah Kocher, Oleksiy Losyev, Elliud Muli, Harland Patch, Joyce Sakamoto, Scott Stanley, Anthony Vaudo, Christina Grozinger"																																																																																								
1881519	4807495	"['Julian Hecker', 'Dmitry Prokopenko', 'Christoph Lange', 'Heide Löhlein Fier']"	bioRxiv	article	10.1101/032854	13.748	2015-11-25T00:00:00+00:00	2015	11	3	1	0	0.75	0.25	0	4	male	0.98	female	0.93	firstlast	"Julian Hecker, Dmitry Prokopenko, Christoph Lange, Heide Löhlein"																																																																																								
1882988	43589886	"['Sean Stankowski', 'Madeline A Chase', 'Allison M Fuiten', 'Peter L Ralph', 'Matthew A Streisfeld']"	bioRxiv	article	10.1101/342352	45.15	2018-06-11T00:00:00+00:00	2018	6	3	2	0	0.6	0.4	0	5	male	0.99	male	1	firstlast	"Sean Stankowski, Madeline Chase, Allison Fuiten, Peter Ralph, Matthew Streisfeld"																																																																																								
1884499	43759989	"['Kimberly A Kline', 'Irina Afonina', 'Xin Ni Lim', 'Rosalind Tan']"	bioRxiv	article	10.1101/348029	0.5	2018-06-15T00:00:00+00:00	2018	6	0	4	0	0	1	0	4	female	0.99	female	0.98	firstlast	"Kimberly Kline, Irina Afonina, Xin Ni, Rosalind Tan"																																																																																								
1885610	35580064	"['Gregory M. Findlay', 'Riza M. Daza', 'Beth Martin', 'Melissa D. Zhang', 'Anh P. Leith', 'Molly Gasperini', 'Joseph D. Janizek', 'Xingfan Huang', 'Lea M. Starita', 'Jay Shendure']"	bioRxiv	article	10.1101/294520	169.35	2018-04-05T00:00:00+00:00	2018	4	5	4	1	0.5	0.4	0.1	10	male	0.99	male	0.91	firstlast	"Gregory Findlay, Riza Daza, Beth Martin, Melissa Zhang, Anh Leith, Molly Gasperini, Joseph Janizek, Xingfan Huang, Lea Starita, Jay Shendure"																																																																																								
1886550	14839186	"['Daniel L Barton', 'Silke Henkes', 'Cornelis J Weijer', 'Rastko Sknepnek']"	bioRxiv	article	10.1101/095133	7.2	2016-12-18T00:00:00+00:00	2016	12	3	1	0	0.75	0.25	0	4	male	0.99	male	1	firstlast	"Daniel Barton, Silke Henkes, Cornelis Weijer, Rastko Sknepnek"																																																																																								
1888295	27918608	"['Aurélien Vigneron', 'Emre Aksoy', 'Brian L. Weiss', 'Xiaoli Bing', 'Xin Zhao', 'Erick O. Awuoche', """"Michelle O'Neill"""", 'Yineng Wu', 'Geoffrey M. Attardo', 'Serap Aksoy']"	bioRxiv	article	10.1101/207993	2	2017-10-25T00:00:00+00:00	2017	10	4	4	1	0.444444444	0.444444444	0.111111111	9			female	0.97	firstlast	"Aurélien Vigneron, Emre Aksoy, Brian Weiss, Xiaoli Bing, Xin Zhao, Erick Awuoche, Michelle O'Neill, Geoffrey Attardo, Serap Aksoy"																																																																																								
1888667	15734022	"['Ismail Yusuf Rabbi', 'Lovina I Udoh', 'Marnin Wolfe', 'Elizabeth Y Parkes', 'Melaku A Gedil', 'Alfred Dixon', 'Punna Ramu', 'Jean-Luc Jannink', 'Peter Kulakow']"	bioRxiv	article	10.1101/102665	5.95	2017-01-24T00:00:00+00:00	2017	1	5	3	1	0.555555556	0.333333333	0.111111111	9	male	0.97	male	0.99	firstlast	"Ismail Yusuf, Lovina Udoh, Marnin Wolfe, Elizabeth Parkes, Melaku Gedil, Alfred Dixon, Punna Ramu, Jean-Luc Jannink, Peter Kulakow"																																																																																								
1889164	35046288	"['Jack A. Tuszynski', 'Bogdan M. Sataric', 'Miljko V. Sataric', 'Dalibor L Sekulic', 'Slobodan Zdravkovic']"	bioRxiv	article	10.1101/292292	1.25	2018-03-30T00:00:00+00:00	2018	3	4	0	1	0.8	0	0.2	5	male	0.98	male	0.99	firstlast	"Jack Tuszynski, Bogdan Sataric, Miljko Sataric, Dalibor Sekulic, Slobodan Zdravkovic"																																																																																								
1890251	17064499	"['Mark P Dilworth', 'Tom Nieto', 'Joanne D Stockton', 'Celina M Whalley', 'Louise Tee', 'Jonathan D James', 'Mike T Hallissey', 'Rahul Hejmadi', 'Nigel Trugdill', 'Olga Tucker', 'Andrew D Beggs']"	bioRxiv	article	10.1101/114298	4.5	2017-03-06T00:00:00+00:00	2017	3	7	4	0	0.636363636	0.363636364	0	11	male	0.99	male	0.99	firstlast	"Mark Dilworth, Tom Nieto, Joanne Stockton, Celina Whalley, Louise Tee, Jonathan James, Mike Hallissey, Rahul Hejmadi, Nigel Trugdill, Olga Tucker, Andrew Beggs"																																																																																								
1890429	18564399	"['Fanshuang Zhang', 'Yanying Ni', 'Yuan Yuan', 'Wei Yin', 'Youhe Gao']"	bioRxiv	article	10.1101/125120	1	2017-04-06T00:00:00+00:00	2017	4	2	2	1	0.4	0.4	0.2	5	male	0.6	male	0.64	lastfirst	"Fanshuang Zhang, Yanying Ni, Yuan Yuan, Wei Yin, Youhe Gao"																																																																																								
1892936	22257170	"['Yakov A. Tsepilov', 'Olga Zaytseva', 'Ekaterina Yudayeva', 'Artem Kasianov', 'Ivan Kulakovskiy', 'Maria Logacheva', 'Daria Belayeva', 'Anna Gracheva', 'Ksenia Homenko', 'Anastasia Knyazeva', 'Ekaterina Kolesnikova', 'Daria Nikolayeva', 'Mariana Bevova', 'Pavel Borodin', 'Yurii Aulchenko']"	bioRxiv	article	10.1101/165555	2.75	2017-07-21T00:00:00+00:00	2017	7	5	10	0	0.333333333	0.666666667	0	15	male	0.99	male	0.93	firstlast	"Yakov Tsepilov, Olga Zaytseva, Ekaterina Yudayeva, Artem Kasianov, Ivan Kulakovskiy, Maria Logacheva, Daria Belayeva, Anna Gracheva, Ksenia Homenko, Anastasia Knyazeva, Ekaterina Kolesnikova, Daria Nikolayeva, Mariana Bevova, Pavel Borodin, Yurii Aulchenko"																																																																																								
1894181	2493479	"['Alexander Dilthey', 'Charles J Cox', 'Zamin Iqbal', 'Matthew R Nelson', 'Gil McVean']"	bioRxiv	article	10.1101/006973	31.856	2014-07-08T00:00:00+00:00	2014	7	5	0	0	1	0	0	5	male	0.99	male	0.92	firstlast	"Alexander Dilthey, Charles Cox, Zamin Iqbal, Matthew Nelson, Gil McVean"																																																																																								
1894276	21313045	"['Joao Lima', 'Trevor Sharp', 'Amy M Taylor', 'David M Bannerman', 'Stephen B Mchugh']"	bioRxiv	article	10.1101/154690	2.35	2017-06-23T00:00:00+00:00	2017	6	4	1	0	0.8	0.2	0	5	male	0.98	male	0.99	firstlast	"Joao Lima, Trevor Sharp, Amy Taylor, David Bannerman, Stephen Mchugh"																																																																																								
1895888	40630227	"['Dylan M Nielson', 'Francisco Pereira', 'Charles Y Zheng', 'Nino Migineishvili', 'John A Lee', 'Adam G Thomas', 'Peter A Bandettini']"	bioRxiv	article	10.1101/309260	18.9	2018-05-02T00:00:00+00:00	2018	5	6	1	0	0.857142857	0.142857143	0	7	male	0.98	male	0.99	firstlast	"Dylan Nielson, Francisco Pereira, Charles Zheng, Nino Migineishvili, John Lee, Adam Thomas, Peter Bandettini"																																																																																								
1896490	32373009	"['Pooran Singh Dewari', 'Benjamin Southgate', 'Katrina Mccarten', 'German Monogarov', """"Eoghan O'Duibhir"""", 'Niall Quinn', 'Ashley Tyrer', 'Colin Plumb', 'Carla Blin', 'Rebecca Finch', 'Raul Bardini Bressan', 'Gillian Morrison', 'Ashley M Jacobi', 'Mark A Behlke', 'Alex von Kriegsheim', 'Simon Tomlinson', 'Jeroen Krijgsveld', 'Steven M Pollard']"	bioRxiv	article	10.1101/255737	13.984	2018-01-29T00:00:00+00:00	2018	1	11	6	0	0.647058824	0.352941176	0	17	male	0.95	male	0.99	firstlast	"Pooran Singh, Benjamin Southgate, Katrina Mccarten, German Monogarov, Eoghan O'Duibhir, Ashley Tyrer, Colin Plumb, Carla Blin, Rebecca Finch, Raul Bardini, Gillian Morrison, Ashley Jacobi, Mark Behlke, Alex vonKriegsheim, Simon Tomlinson, Jeroen Krijgsveld, Steven Pollard"																																																																																								
1896622	24327839	"['Max Salm', 'Sven-Eric Schelhorn', 'Lee Lancashire', 'Thomas Grombacher']"	bioRxiv	article	10.1101/180752	1.5	2017-08-25T00:00:00+00:00	2017	8	4	0	0	1	0	0	4	male	0.98	male	0.99	firstlast	"Max Salm, Sven-Eric Schelhorn, Lee Lancashire, Thomas Grombacher"																																																																																								
