id	altmetric_id	authors	journal	type	doi	altmetric_score	date	pubyear	pubmonth	males	females	unknown	propmales	propfemales	propunknown	numauthors	firstgender	firstgenderprob	lastgender	lastgenderprob	authors_format	cleaned_authors																																																																																								
15702	31760130	"['Christopher Madan', 'Elizabeth A. Kensinger']"	bioRxiv	article	10.1101/248518	27.5	2018-01-16T00:00:00+00:00	2018	1	1	1	0	0.5	0.5	0	2	male	0.99	female	0.99	firstlast	"Christopher Madan, Elizabeth Kensinger"																																																																																								
16094	4990153	"['Danny Park', 'Itamar Eskin', 'Eun Yong Kang', 'Eric R Gamazon', 'Celeste Eng', 'Christopher R Gignoux', 'Joshua M Galanter', 'Esteban Burchard', 'Chun J Ye', 'Hugues Aschard', 'Eleazar Eskin', 'Eran Halperin', 'Noah Zaitlen']"	bioRxiv	article	10.1101/036640	14.748	2016-01-13T00:00:00+00:00	2016	1	12	1	0	0.923076923	0.076923077	0	13	male	0.95	male	0.88	firstlast	"Danny Park, Itamar Eskin, Eun Yong, Eric Gamazon, Celeste Eng, Christopher Gignoux, Joshua Galanter, Esteban Burchard, Chun Ye, Hugues Aschard, Eleazar Eskin, Eran Halperin, Noah Zaitlen"																																																																																								
16616	16906334	"['Hamid Safizadeh', 'Scott William Simpkins', 'Justin Nelson', 'Chad L Myers']"	bioRxiv	article	10.1101/112698	2.5	2017-03-01T00:00:00+00:00	2017	3	4	0	0	1	0	0	4	male	0.98	male	0.99	firstlast	"Hamid Safizadeh, Scott William, Justin Nelson, Chad Myers"																																																																																								
17795	31901042	"['Larissa Calancie', 'Thomas C Keyserling', 'Lindsey Smith-Taillie', 'Kimberly Robasky', 'Cam Patterson', 'Alice S Ammerman', 'Jonathan C Schisler']"	bioRxiv	article	10.1101/249763	2.75	2018-01-18T00:00:00+00:00	2018	1	3	4	0	0.428571429	0.571428571	0	7	female	0.98	male	0.99	firstlast	"Larissa Calancie, Thomas Keyserling, Lindsey Smith-Taillie, Kimberly Robasky, Cam Patterson, Alice Ammerman, Jonathan Schisler"																																																																																								
18654	43632475	"['Lara S Hwa', 'Melanie M Pina', 'Sofia Neira', 'Dipanwita Pati', 'Rachel Calloway', 'Thomas L Kash']"	bioRxiv	article	10.1101/345157	12.6	2018-06-12T00:00:00+00:00	2018	6	1	5	0	0.166666667	0.833333333	0	6	female	0.98	male	0.99	firstlast	"Lara Hwa, Melanie Pina, Sofia Neira, Dipanwita Pati, Rachel Calloway, Thomas Kash"																																																																																								
18762	35017343	"[""""Keiron O'Shea"""", 'Divya Kattupalli', 'Luis AJ Mur', 'Nigel W Hardy', 'Biswapriya B Misra', 'Chuan Lu']"	bioRxiv	article	10.1101/291799	4.6	2018-03-30T00:00:00+00:00	2018	3	5	0	0	1	0	0	5	male	0.99	male	0.86	firstlast	"Keiron O'Shea, Luis Mur, Nigel Hardy, Biswapriya Misra, Chuan Lu"																																																																																								
18782	33444103	"['John Littrell', 'Shirng-Wern Tsaih', 'Amelie Baud', 'Pasi M.A. Rastas', 'Leah Solberg-Woods', 'Michael Flister']"	bioRxiv	article	10.1101/268227	2.5	2018-02-20T00:00:00+00:00	2018	2	3	2	1	0.5	0.333333333	0.166666667	6	male	0.99	male	0.99	firstlast	"John Littrell, Shirng-Wern Tsaih, Amelie Baud, Pasi Rastas, Leah Solberg-Woods, Michael Flister"																																																																																								
18869	8982242	"['Christian Mulder', 'Giorgio Mancinelli']"	bioRxiv	article	10.1101/059915	1.25	2016-06-22T00:00:00+00:00	2016	6	2	0	0	1	0	0	2	male	0.99	male	0.99	firstlast	"Christian Mulder, Giorgio Mancinelli"																																																																																								
19079	19907596	"['Ofir Shukron', 'David Holcman']"	bioRxiv	article	10.1101/135012	2	2017-05-06T00:00:00+00:00	2017	5	2	0	0	1	0	0	2	male	0.89	male	0.99	firstlast	"Ofir Shukron, David Holcman"																																																																																								
19127	43016446	"['Maria-Luisa Carrozza', 'Anna-Maria Niewiadomska', 'Maurizio Mazzei', 'Mounir Abi-Said', 'Stephane Hue', 'Joshua B Singer', 'Joseph Hughes', 'Robert James Gifford']"	bioRxiv	article	10.1101/236117	1.75	2018-05-30T00:00:00+00:00	2018	5	6	2	0	0.75	0.25	0	8	female	0.98	male	0.99	firstlast	"Maria-Luisa Carrozza, Anna-Maria Niewiadomska, Maurizio Mazzei, Mounir Abi-Said, Stephane Hue, Joshua Singer, Joseph Hughes, Robert James"																																																																																								
