['altmetric_id', 'authors', 'journal', 'altmetric_score']
44	1272054	['David\xa0W. Van\xa0de\xa0Vosse', 'Yakun Wan', 'Diego\xa0L. Lapetina', 'Wei-Ming Chen', 'Jung-Hsien Chiang', 'John\xa0D. Aitchison', 'Richard\xa0W. Wozniak']	Cell	article	2.75	2013-01-01T00:00:00+00:00	None	None	None	None	None
1640	35542341	['Mark A. Krasnow', 'Nicholas R. Cozzarelli']	Cell	article	9	1983-04-01T00:00:00+00:00	None	None	None	None	None
2265	3122178	['Michael-Christopher Keogh', 'Siavash K. Kurdistani', 'Stephanie A. Morris', 'Seong Hoon Ahn', 'Vladimir Podolny', 'Sean R. Collins', 'Maya Schuldiner', 'Kayu Chin', 'Thanuja Punna', 'Natalie J. Thompson', 'Charles Boone', 'Andrew Emili', 'Jonathan S. Weissman', 'Timothy R. Hughes', 'Brian D. Strahl', 'Michael Grunstein', 'Jack F. Greenblatt', 'Stephen Buratowski', 'Nevan J. Krogan']	Cell	article	3	2005-11-01T00:00:00+00:00	None	None	None	None	None
2798	587661	['David\xa0J. Anderson']	Cell	article	14.7	2012-01-01T00:00:00+00:00	None	None	None	None	None
2966	3516716	['D R Littman', 'Y Thomas', 'P J Maddon', 'L Chess', 'R Axel']	Cell	article	0	1985-02-01T00:00:00+00:00	None	None	None	None	None
6290	431796	['JosephÂ\xa0E. LeDoux', 'Joshua P. Johansen', 'Christopher K. Cain', 'Linnaea E. Ostroff', 'Joseph E. LeDoux', 'Joshua\xa0P. Johansen', 'Christopher\xa0K. Cain', 'Linnaea\xa0E. Ostroff', 'Joseph\xa0E. LeDoux']	Cell	article	19.5	2011-01-01T00:00:00+00:00	None	None	None	None	None
8152	132777	['Dongning Pan', 'Masaki Fujimoto', 'Andrea Lopes', 'Yong-Xu Wang']	Cell	article	1	2009-04-03T00:00:00+00:00	None	None	None	None	None
8983	42186554	['Ravi Dhar', 'Robert M. Chanock', 'Ching-Juh Lai']	Cell	article	3	1980-09-01T00:00:00+00:00	None	None	None	None	None
9436	31550779	['Semenza, J C', 'Hardwick, K G', 'Dean, N', 'Pelham, H R']	Cell	article	1	1990-06-29T00:00:00+00:00	None	None	None	None	None
9577	209134	['Pavri, Rushad', 'Zhu, Bing', 'Li, Guohong', 'Trojer, Patrick', 'Mandal, Subhrangsu', 'Shilatifard, Ali', 'Reinberg, Danny', 'Rushad Pavri', 'Bing Zhu', 'Guohong Li', 'Patrick Trojer', 'Subhrangsu Mandal', 'Ali Shilatifard', 'Danny Reinberg']	Cell	article	7	2006-05-19T00:00:00+00:00	None	None	None	None	None
